School Name,School Code,Tests Taken,Reading / Writing,Math,Total # of Classes,Average Class Size,Number of Students,Female %,Male %,English Language Learner %,Students with Disabilities %,Economically Disadvantaged %,District Code,African American %,Asian %,Hispanic %,White %,Native American %,"Native Hawaiian, Pacific Islander %","Multi-Race, Non-Hispanic %",District Name,In-District Expenditures,Total In-district FTEs,In-District Expenditures per Pupil,Total Expenditures,Total Pupil FTEs,Total Expenditures per Pupil,School Year
Marlborough - Marlborough High,01700505,142,537.0,527.0,     694,13.3,"      1,162",44.8,54.9,29.5,13.1,59.9,01700000,4.8,0.7,64.9,26.0,0.0,0.0,3.6,Marlborough,"          $87,067,178.22","           4,900.7","              $17,766.27","         $101,093,589.50","           5,583.9","              $18,104.48",2022
Marshfield - Marshfield High,01710505,304,568.0,558.0,     560,16.7,"      1,177",50.3,49.7,1.1,16.7,16.2,01710000,1.0,1.1,3.7,92.4,0.1,0.2,1.5,Marshfield,"          $59,472,124.85","           3,826.2","              $15,543.39","          $65,114,316.50","           3,934.5","              $16,549.58",2022
Martha's Vineyard - Martha's Vineyard Regional High,07000505,138,561.0,537.0,     457,13.7,        765,48.8,51.1,14.9,19.1,39.4,07000000,4.2,0.8,26.9,62.0,1.2,0.0,5.0,Martha's Vineyard,"          $23,894,100.65",             709.9,"              $33,658.40","          $27,457,332.08",             760.0,"              $36,128.07",2022
Masconomet - Masconomet Regional High School,07050505,401,580.0,579.0,     579,13.6,        988,53.7,46.2,0.3,15.7,9.2,07050000,0.8,3.0,3.6,90.1,0.0,0.1,2.3,Masconomet,"          $34,698,581.00","           1,632.7","              $21,252.27","          $39,313,299.00","           1,705.5","              $23,050.89",2022
Mashpee - Mashpee High,01720505,68,545.0,541.0,     468,13.4,        677,49.2,50.5,2.7,15.2,39.3,01720000,4.6,2.1,9.0,70.8,5.9,0.0,7.7,Mashpee,"          $31,817,209.75","           1,467.8","              $21,676.80","          $35,009,688.77","           1,625.8","              $21,533.82",2022
Maynard - Maynard High,01740505,73,588.0,555.0,     199,13.0,        315,52.7,46.0,5.1,18.4,25.4,01740000,2.5,2.5,17.1,74.6,0.0,0.0,3.2,Maynard,"          $26,737,702.38","           1,199.9","              $22,283.28","          $31,618,508.75","           1,373.4","              $23,022.07",2022
Medfield - Medfield Senior High,01750505,240,596.0,599.0,     397,16.6,        742,50.8,49.2,0.4,11.9,7.7,01750000,0.8,4.5,5.3,84.5,0.3,0.0,4.7,Medfield,"          $45,631,145.91","           2,532.5","              $18,018.22","          $48,095,732.45","           2,562.4","              $18,769.80",2022
Medford - Medford High,01760505,182,575.0,561.0,     710,12.8,"      1,250",45.2,54.2,11.1,20.2,44.7,01760000,14.0,9.6,16.8,55.1,0.2,0.0,4.2,Medford,"          $86,326,826.20","           4,140.2","              $20,850.88","          $99,287,915.00","           4,645.7","              $21,372.00",2022
Medway - Medway High,01770505,215,582.0,577.0,     306,15.4,        623,53.0,46.4,1.9,12.8,14.6,01770000,1.6,3.7,8.0,82.7,0.5,0.3,3.2,Medway,"          $37,447,561.08","           2,122.5","              $17,643.14","          $41,258,545.08","           2,225.8","              $18,536.50",2022
Melrose - Melrose High,01780505,230,584.0,551.0,     384,16.2,        918,50.0,49.6,2.8,15.7,15.9,01780000,8.2,5.2,7.2,74.7,0.0,0.0,4.7,Melrose,"          $55,859,852.40","           3,847.8","              $14,517.35","          $64,746,197.29","           4,166.4","              $15,540.08",2022
Mendon-Upton - Nipmuc Regional High,07100510,165,587.0,558.0,     372,12.8,        600,52.7,46.8,2.3,14.8,17.2,07100000,0.5,2.5,8.7,85.7,0.0,0.0,2.7,Mendon-Upton,"          $38,984,484.91","           2,157.8","              $18,066.77","          $43,230,451.46","           2,266.6","              $19,072.82",2022
Methuen - Methuen High,01810505,245,544.0,541.0,"   1,011",18.6,"      1,996",48.0,51.9,14.2,10.3,48.5,01810000,5.9,4.4,49.0,38.8,0.0,0.0,2.0,Methuen,"         $102,816,049.70","           6,552.6","              $15,690.88","         $120,609,835.70","           6,994.5","              $17,243.53",2022
Middleborough - Middleborough High,01820505,135,537.0,529.0,     466,15.7,        861,50.8,48.9,2.1,14.8,35.2,01820000,4.5,1.2,4.4,83.4,1.1,0.1,5.3,Middleborough,"          $49,088,271.65","           3,061.4","              $16,034.58","          $53,880,961.68","           3,239.5","              $16,632.49",2022
Milford - Milford High,01850505,172,547.0,526.0,     637,17.1,"      1,347",45.2,54.7,20.4,12.6,51.7,01850000,3.6,2.1,35.3,53.9,2.1,0.0,3.0,Milford,"          $75,516,730.47","           4,435.4","              $17,025.91","          $84,868,510.47","           4,859.4","              $17,464.81",2022
Millbury - Millbury Junior/Senior High,01860505,69,531.0,539.0,     395,16.0,        749,47.0,51.8,5.1,22.2,37.5,01860000,4.4,3.9,12.4,73.6,0.0,0.1,5.6,Millbury,"          $29,587,500.00","           1,621.8","              $18,243.62","          $32,878,025.00","           1,713.2","              $19,191.00",2022
Millis - Millis High School,01870505,78,584.0,567.0,     171,12.3,        314,52.2,46.5,1.3,12.1,18.5,01870000,1.3,2.2,12.7,79.9,0.3,0.0,3.5,Millis,"          $23,101,904.04","           1,180.5","              $19,569.59","          $24,951,051.04","           1,232.1","              $20,250.83",2022
Milton - Milton High,01890505,341,581.0,566.0,     491,16.9,"      1,066",48.8,50.5,2.3,19.9,17.1,01890000,16.0,6.9,7.3,65.7,0.2,0.0,3.9,Milton,"          $72,057,052.26","           4,386.0","              $16,428.88","          $78,208,793.26","           4,454.1","              $17,558.83",2022
Minuteman Regional Vocational Technical - Minuteman Regional High,08300605,86,593.0,561.0,     548,13.1,        685,36.5,61.3,1.0,28.9,19.6,08300000,4.5,3.7,11.1,73.3,0.4,0.0,7.0,Minuteman Regional Vocational Technical,"          $22,471,114.00",             655.0,"              $34,307.04","          $22,488,339.00",             658.0,"              $34,176.81",2022
Mohawk Trail - Mohawk Trail Regional School,07170505,17,576.0,541.0,     269,9.6,        284,50.4,48.6,0.4,32.0,44.0,07170000,0.4,0.4,3.9,91.9,0.0,0.0,3.5,Mohawk Trail,"          $20,423,913.69",             768.7,"              $26,569.42","          $23,185,868.79",             952.4,"              $24,344.68",2022
Monomoy Regional School District - Monomoy Regional High School,07120515,107,575.0,558.0,     470,13.9,        706,53.0,46.6,3.1,14.2,34.1,07120000,6.9,1.4,9.4,76.8,0.9,0.3,4.4,Monomoy Regional School District,"          $39,269,662.00","           1,771.0","              $22,173.72","          $42,359,277.29","           1,956.0","              $21,656.07",2022
Monson - Monson High School,01910505,13,559.0,555.0,     210,11.9,        295,55.6,43.7,0.7,25.8,40.0,01910000,1.4,1.0,11.5,81.0,0.3,0.3,4.4,Monson,"          $16,859,396.00",             843.1,"              $19,996.91","          $19,218,755.46",             948.5,"              $20,262.26",2022
Montachusett Regional Vocational Technical - Montachusett Regional Vocational Technical,08320605,101,565.0,540.0,     584,17.9,"      1,393",48.5,50.3,0.5,17.0,38.0,08320000,2.4,1.4,17.7,73.4,0.0,0.1,5.1,Montachusett Regional Vocational Technical,"          $32,856,285.00","           1,408.8","              $23,322.18","          $33,201,431.00","           1,461.7","              $22,714.26",2022
Mount Greylock - Mt Greylock Regional High,07150505,95,619.0,597.0,     374,13.8,        542,50.9,48.2,1.1,17.5,23.4,07150000,3.1,2.0,5.7,85.6,0.0,0.0,3.5,Mount Greylock,"          $22,600,104.00","           1,159.6","              $19,489.57","          $23,506,595.00","           1,217.5","              $19,307.26",2022
Mystic Valley Regional Charter (District) - Mystic Valley Regional Charter School,04700105,101,588.0,595.0,     729,25.6,"      1,605",51.7,48.4,2.2,10.5,29.2,04700000,18.3,29.2,11.5,35.9,0.3,0.1,4.8,Mystic Valley Regional Charter (District),"          $22,481,835.00","           1,586.9","              $14,166.78","          $22,481,835.00","           1,586.9","              $14,166.78",2022
Nantucket - Nantucket High,01970505,86,520.0,501.0,     314,15.5,        595,48.2,51.8,12.8,11.6,34.1,01970000,10.1,2.2,38.0,46.1,0.2,0.0,3.5,Nantucket,"          $44,815,934.64","           1,692.3","              $26,482.26","          $45,999,808.64","           1,705.2","              $26,976.20",2022
Narragansett - Narragansett Regional High,07200505,23,575.0,527.0,     249,16.0,        464,43.8,54.5,1.1,17.9,38.4,07200000,0.7,1.1,11.2,81.9,0.2,0.2,4.7,Narragansett,"          $21,101,743.00","           1,402.8","              $15,042.59","          $23,835,726.00","           1,545.9","              $15,418.67",2022
Nashoba - Nashoba Regional,07250505,288,590.0,593.0,     500,13.1,        831,49.2,50.5,1.4,13.5,11.4,07250000,1.7,4.6,7.0,83.4,0.0,0.1,3.3,Nashoba,"          $59,647,501.24","           3,107.4","              $19,195.31","          $62,926,087.58","           3,243.7","              $19,399.48",2022
Nashoba Valley Regional Vocational Technical - Nashoba Valley Technical High School,08520605,34,541.0,516.0,     359,13.9,        729,37.6,60.1,0.6,32.1,32.7,08520000,2.5,1.4,11.3,81.1,0.4,0.1,3.3,Nashoba Valley Regional Vocational Technical,"          $15,826,365.00",             732.9,"              $21,594.17","          $15,851,420.00",             734.3,"              $21,587.12",2022
Natick - Natick High,01980505,373,597.0,589.0,     953,15.8,"      1,756",46.4,53.0,2.7,20.8,13.8,01980000,3.6,9.3,7.6,74.5,0.1,0.0,4.9,Natick,"          $91,416,188.89","           5,329.2","              $17,153.83","         $100,726,039.10","           5,472.3","              $18,406.53",2022
Nauset - Nauset Regional High,06600505,202,582.0,556.0,     539,11.4,        766,54.3,45.2,0.9,16.2,26.5,06600000,6.3,2.2,4.8,83.8,0.1,0.0,2.7,Nauset,"          $32,201,968.00","           1,359.6","              $23,684.88","          $37,122,883.00","           1,525.1","              $24,341.28",2022
Needham - Needham High,01990505,368,637.0,640.0,     738,16.4,"      1,641",50.7,48.4,1.2,17.6,7.6,01990000,2.0,7.6,8.0,77.6,0.0,0.1,4.8,Needham,"         $121,188,348.00","           5,561.6","              $21,790.19","         $128,972,521.80","           5,654.6","              $22,808.43",2022
Neighborhood House Charter (District) - Neighborhood House Charter School,04440205,94,433.0,441.0,     409,15.3,        800,48.1,51.9,11.0,27.9,64.1,04440000,50.9,2.3,29.1,9.8,0.8,0.0,7.3,Neighborhood House Charter (District),"          $17,942,750.00",             793.2,"              $22,621.00","          $17,942,750.00",             793.2,"              $22,621.00",2022
New Bedford - New Bedford High,02010505,142,511.0,478.0,"   1,384",18.1,"      3,007",46.8,53.0,28.4,17.7,78.5,02010000,15.4,0.6,46.4,31.9,0.4,0.1,5.2,New Bedford,"         $241,063,736.40","          12,744.9","              $18,914.53","         $274,379,298.50","          14,561.6","              $18,842.66",2022
New Heights Charter School of Brockton (District) - New Heights Charter School of Brockton,35130305,17,483.0,496.0,     195,23.2,        692,52.8,47.3,19.8,12.0,58.4,35130000,87.9,0.6,6.5,0.9,0.1,0.1,3.9,New Heights Charter School of Brockton (District),"          $13,699,103.30",             732.3,"              $18,705.93","          $13,699,103.30",             732.3,"              $18,705.93",2022
Newburyport - Newburyport High,02040505,191,587.0,574.0,     725,16.0,        822,50.9,49.2,2.6,17.6,11.6,02040000,1.2,2.7,3.8,90.2,0.2,0.0,2.0,Newburyport,"          $43,331,840.25","           2,182.7","              $19,852.40","          $49,672,111.25","           2,378.8","              $20,881.16",2022
Newton - Newton North High,02070505,468,622.0,627.0,"   1,142",14.7,"      2,119",48.8,50.5,3.8,16.2,16.5,02070000,5.3,15.6,12.3,59.4,0.1,0.1,7.2,Newton,"         $284,598,150.00","          12,074.2","              $23,570.77","         $300,003,740.00","          12,234.1","              $24,521.93",2022
Newton - Newton South High,02070510,512,636.0,648.0,"   1,060",13.7,"      1,846",47.7,51.5,2.8,12.8,12.3,02070000,3.5,24.1,7.8,57.8,0.2,0.1,6.6,Newton,"         $284,598,150.00","          12,074.2","              $23,570.77","         $300,003,740.00","          12,234.1","              $24,521.93",2022
Norfolk County Agricultural - Norfolk County Agricultural,09150705,81,557.0,507.0,     511,15.8,        585,71.5,27.0,0.2,21.9,18.8,09150000,1.7,0.5,6.3,88.0,0.7,0.0,2.7,Norfolk County Agricultural,"          $15,027,466.46",             584.5,"              $25,709.95","          $15,027,466.46",             584.5,"              $25,709.95",2022
North Adams - Drury High,02090505,60,488.0,429.0,     265,13.3,        492,53.9,45.9,0.4,23.2,66.1,02090000,2.4,0.8,7.3,81.1,0.4,0.4,7.5,North Adams,"          $28,349,686.22","           1,262.1","              $22,462.31","          $31,501,349.31","           1,476.5","              $21,335.15",2022
North Andover - North Andover High,02110505,347,578.0,568.0,     811,15.5,"      1,337",49.5,50.3,1.5,15.6,23.5,02110000,3.3,6.7,14.6,71.5,0.3,0.1,3.6,North Andover,"          $74,947,845.63","           4,543.4","              $16,495.98","          $81,081,409.13","           4,657.5","              $17,408.78",2022
North Attleborough - North Attleboro High,02120505,237,576.0,568.0,     605,16.0,"      1,119",50.9,48.4,1.2,12.6,22.3,02120000,5.1,7.7,6.5,76.5,0.2,0.5,3.6,North Attleborough,"          $60,477,078.00","           4,034.8","              $14,988.87","          $67,397,295.00","           4,256.6","              $15,833.60",2022
North Middlesex - North Middlesex Regional,07350505,140,547.0,531.0,     383,16.5,        759,47.0,52.7,1.1,24.6,22.4,07350000,1.5,2.8,7.3,85.1,0.0,0.1,3.3,North Middlesex,"          $51,847,286.08","           3,025.3","              $17,137.90","          $60,026,144.31","           3,227.4","              $18,598.92",2022
North Reading - North Reading High,02170505,166,581.0,576.0,     302,16.5,        647,51.9,47.5,0.2,17.5,10.8,02170000,0.3,5.9,5.1,85.6,0.0,0.0,3.1,North Reading,"          $44,130,618.78","           2,332.3","              $18,921.50","          $47,288,599.60","           2,371.3","              $19,942.06",2022
Northampton - Northampton High,02100505,179,618.0,583.0,     429,15.3,        904,49.2,49.1,3.5,18.9,25.3,02100000,3.3,3.0,14.8,71.0,0.2,0.0,7.6,Northampton,"          $49,359,014.62","           2,670.3","              $18,484.45","          $54,837,120.62","           2,940.3","              $18,650.18",2022
Northampton-Smith Vocational Agricultural - Smith Vocational and Agricultural High,04060705,12,492.0,471.0,     464,12.4,        571,39.8,58.8,2.5,39.1,39.1,04060000,0.9,0.5,13.5,83.0,0.2,0.2,1.8,Northampton-Smith Vocational Agricultural,"          $12,913,120.52",             540.4,"              $23,895.49","          $12,913,120.52",             540.4,"              $23,895.49",2022
Northboro-Southboro - Algonquin Regional High,07300505,343,616.0,626.0,     752,13.9,"      1,224",52.5,47.4,1.8,16.1,13.2,07300000,1.6,14.7,9.3,69.2,0.3,0.4,4.5,Northboro-Southboro,"          $26,325,036.75","           1,263.4","              $20,836.66","          $28,051,620.29","           1,297.2","              $21,624.75",2022
Northbridge - Northbridge High,02140505,83,542.0,532.0,     253,14.9,        507,45.8,54.2,1.8,15.4,33.9,02140000,2.0,1.2,11.8,82.6,0.0,0.0,2.4,Northbridge,"          $32,413,864.26","           1,978.0","              $16,387.19","          $37,039,644.49","           2,198.1","              $16,850.75",2022
Northeast Metropolitan Regional Vocational Technical - Northeast Metro Regional Vocational,08530605,65,482.0,467.0,     948,18.4,"      1,294",45.1,54.5,3.5,25.0,50.7,08530000,4.0,1.4,41.5,51.8,0.2,0.2,1.0,Northeast Metropolitan Regional Vocational Technical,"          $31,239,641.01","           1,294.2","              $24,138.19","          $31,245,321.01","           1,298.1","              $24,070.04",2022
Northern Berkshire Regional Vocational Technical - Charles McCann Vocational Technical,08510605,41,535.0,493.0,     428,15.2,        535,38.7,61.1,0.0,15.3,42.4,08510000,1.1,0.4,1.1,95.9,0.0,0.2,1.3,Northern Berkshire Regional Vocational Technical,"          $12,054,339.44",             503.7,"              $23,931.59","          $12,088,957.44",             509.7,"              $23,717.79",2022
Norton - Norton High,02180505,119,564.0,548.0,     412,13.9,        684,51.0,48.4,1.9,17.5,21.4,02180000,4.1,2.8,3.5,86.8,0.2,0.0,2.6,Norton,"          $42,173,644.83","           2,383.0","              $17,697.71","          $47,510,639.10","           2,500.8","              $18,998.18",2022
Norwell - Norwell High,02190505,238,602.0,574.0,     332,12.9,        597,47.1,52.9,0.0,10.2,7.0,02190000,0.2,2.7,1.3,93.1,0.2,0.0,2.5,Norwell,"          $38,304,641.00","           2,184.2","              $17,537.15","          $42,218,058.67","           2,233.9","              $18,898.81",2022
Norwood - Norwood High,02200505,211,556.0,548.0,     535,13.3,        964,50.8,48.7,8.5,20.2,37.7,02200000,13.6,5.9,20.0,57.7,0.1,0.3,2.4,Norwood,"          $69,141,638.03","           3,514.4","              $19,673.81","          $77,662,538.93","           3,678.1","              $21,114.85",2022
Old Colony Regional Vocational Technical - Old Colony Regional Vocational Technical,08550605,31,535.0,542.0,     289,14.2,        556,35.8,63.9,0.0,20.5,26.3,08550000,0.5,0.9,2.2,92.6,0.4,0.0,3.4,Old Colony Regional Vocational Technical,"          $13,394,370.60",             553.9,"              $24,181.93","          $13,409,370.60",             556.9,"              $24,078.60",2022
Old Rochester - Old Rochester Regional High,07400505,190,572.0,564.0,     370,14.1,        626,49.2,50.8,0.2,13.7,20.1,07400000,2.7,1.8,3.0,87.7,0.0,0.0,4.8,Old Rochester,"          $21,887,236.00","           1,090.5","              $20,070.83","          $22,225,087.00","           1,113.9","              $19,952.50",2022
Oxford - Oxford High,02260505,41,527.0,516.0,     213,14.4,        387,50.1,49.1,2.1,18.1,42.6,02260000,3.1,1.8,15.8,73.1,0.3,0.0,5.9,Oxford,"          $26,228,196.78","           1,466.1","              $17,889.77","          $29,467,636.53","           1,607.3","              $18,333.63",2022
Palmer - Palmer High,02270505,33,545.0,531.0,     310,13.0,        533,46.3,53.5,4.1,18.6,59.1,02270000,2.1,3.0,19.1,70.2,0.2,0.0,5.4,Palmer,"          $20,432,060.34","           1,178.1","              $17,343.23","          $23,940,574.02","           1,339.3","              $17,875.44",2022
Pathfinder Regional Vocational Technical - Pathfinder Vocational Technical,08600605,13,527.0,524.0,     388,12.8,        627,39.4,60.1,0.6,23.6,41.3,08600000,1.9,0.3,9.4,84.9,0.2,0.2,3.2,Pathfinder Regional Vocational Technical,"          $15,695,031.00",             617.4,"              $25,421.17","          $15,860,112.00",             638.4,"              $24,843.53",2022
Paulo Freire Social Justice Charter School (District) - Paulo Freire Social Justice Charter School,35010505,41,412.0,399.0,     163,18.7,        295,55.3,44.4,8.8,23.1,86.8,35010000,9.8,0.0,86.4,2.7,0.0,0.0,1.0,Paulo Freire Social Justice Charter School (District),"           $5,463,024.61",             244.0,"              $22,386.69","           $5,463,024.61",             244.0,"              $22,386.69",2022
Peabody - Peabody Veterans Memorial High,02290510,180,535.0,530.0,     728,15.6,"      1,476",48.0,51.9,10.9,16.3,47.2,02290000,4.3,2.2,24.0,67.1,0.3,0.0,2.0,Peabody,"          $93,684,635.34","           5,989.9","              $15,640.43","         $106,110,298.10","           6,243.0","              $16,996.68",2022
Pembroke - Pembroke High School,02310505,211,570.0,560.0,     375,15.2,        728,46.2,53.7,0.6,11.7,17.7,02310000,0.7,1.0,1.1,95.5,0.0,0.0,1.8,Pembroke,"          $42,637,118.52","           2,569.1","              $16,596.13","          $48,654,507.86","           2,765.1","              $17,595.93",2022
Pentucket - Pentucket Regional Sr High,07450505,151,584.0,563.0,     370,13.8,        763,49.9,49.7,0.1,17.7,17.4,07450000,0.5,1.4,7.0,88.7,0.1,0.1,2.1,Pentucket,"          $38,750,554.00","           2,228.6","              $17,387.85","          $43,864,067.00","           2,342.5","              $18,725.32",2022
Pioneer Charter School of Science (District) - Pioneer Charter School of Science,04940205,27,558.0,598.0,     374,18.2,        793,52.0,48.1,22.1,8.6,52.7,04940000,23.1,7.2,26.7,39.1,1.1,0.0,2.8,Pioneer Charter School of Science (District),"          $12,782,412.58",             777.2,"              $16,446.11","          $12,782,412.58",             777.2,"              $16,446.11",2022
Pioneer Charter School of Science II (PCSS-II) (District) - Pioneer Charter School of Science II (PCSS-II),35060505,63,566.0,617.0,     186,19.4,        466,50.6,49.4,22.5,12.5,43.8,35060000,30.0,16.7,24.5,24.5,0.4,0.0,3.9,Pioneer Charter School of Science II (PCSS-II) (District),"           $6,117,629.19",             369.3,"              $16,563.68","           $6,117,629.19",             369.3,"              $16,563.68",2022
Pioneer Valley - Pioneer Valley Regional,07500505,34,550.0,496.0,     217,12.2,        257,47.5,52.5,1.6,15.2,29.6,07500000,0.8,1.2,2.3,90.7,0.0,0.4,4.7,Pioneer Valley,"          $14,293,678.45",             637.9,"              $22,407.40","          $15,711,699.94",             726.4,"              $21,629.54",2022
Pioneer Valley Chinese Immersion Charter (District) - Pioneer Valley Chinese Immersion Charter School,04970205,25,648.0,632.0,     407,16.8,        544,47.1,52.6,2.9,15.3,22.4,04970000,7.9,18.6,8.3,50.6,0.0,0.0,14.7,Pioneer Valley Chinese Immersion Charter (District),"           $8,692,992.58",             563.6,"              $15,423.77","           $8,692,992.58",             563.6,"              $15,423.77",2022
Pioneer Valley Performing Arts Charter Public (District) - Pioneer Valley Performing Arts Charter Public School,04790505,48,565.0,499.0,     388,13.5,        398,64.3,33.7,0.5,22.6,38.9,04790000,9.1,1.3,21.6,60.8,0.3,0.0,7.0,Pioneer Valley Performing Arts Charter Public (District),"           $6,406,852.92",             393.9,"              $16,266.00","           $6,406,852.92",             393.9,"              $16,266.00",2022
Pittsfield - Pittsfield High,02360505,69,572.0,547.0,     408,12.9,        673,49.0,50.4,6.5,23.9,55.7,02360000,11.3,1.5,18.4,61.7,0.2,0.0,7.0,Pittsfield,"         $103,454,798.00","           4,949.1","              $20,903.76","         $115,517,127.20","           5,765.5","              $20,035.93",2022
Pittsfield - Taconic High,02360510,47,534.0,525.0,     513,13.9,        851,46.7,53.1,4.1,21.0,63.2,02360000,12.1,1.8,15.9,60.6,0.2,0.0,9.4,Pittsfield,"         $103,454,798.00","           4,949.1","              $20,903.76","         $115,517,127.20","           5,765.5","              $20,035.93",2022
Plymouth - Plymouth North High,02390505,255,542.0,522.0,     935,15.3,"      1,268",47.4,52.3,6.6,14.0,32.9,02390000,3.2,1.7,11.4,79.2,0.2,0.1,4.3,Plymouth,"         $145,283,971.70","           7,254.3","              $20,027.29","         $163,017,309.80","           7,902.2","              $20,629.36",2022
Plymouth - Plymouth South High,02390515,188,535.0,520.0,     953,13.4,"      1,019",47.2,52.7,0.3,17.8,23.5,02390000,1.4,0.3,4.6,89.9,0.3,0.0,3.5,Plymouth,"         $145,283,971.70","           7,254.3","              $20,027.29","         $163,017,309.80","           7,902.2","              $20,629.36",2022
Prospect Hill Academy Charter (District) - Prospect Hill Academy Charter School,04870550,64,498.0,471.0,     464,17.4,        973,50.8,49.2,18.1,16.4,59.9,04870000,57.0,6.9,21.1,10.2,0.1,0.2,4.5,Prospect Hill Academy Charter (District),"          $23,373,784.15","           1,094.1","              $21,362.70","          $23,373,784.15","           1,094.1","              $21,362.70",2022
Quabbin - Quabbin Regional High School,07530505,81,563.0,558.0,     450,17.1,        574,54.2,45.5,0.4,17.1,33.1,07530000,1.2,1.7,7.1,88.3,0.0,0.0,1.6,Quabbin,"          $38,543,729.22","           2,222.6","              $17,341.73","          $41,785,072.57","           2,324.4","              $17,976.71",2022
Quaboag Regional - Quaboag Regional High,07780505,41,587.0,555.0,     189,15.3,        423,49.9,48.9,0.7,14.2,37.8,07780000,0.5,0.0,6.4,87.7,0.5,0.0,5.0,Quaboag Regional,"          $20,255,900.27","           1,150.3","              $17,609.23","          $22,204,269.67","           1,279.1","              $17,359.29",2022
Quincy - North Quincy High,02430510,381,562.0,589.0,     635,17.3,"      1,492",47.2,52.8,8.7,16.8,42.0,02430000,4.9,55.0,4.4,32.2,0.1,0.2,3.2,Quincy,"         $171,116,575.20","           9,630.2","              $17,768.75","         $191,236,533.00","           9,876.6","              $19,362.59",2022
Quincy - Quincy High,02430505,244,563.0,550.0,     854,14.5,"      1,487",48.8,50.8,12.0,20.3,54.7,02430000,13.5,21.7,12.4,46.9,0.2,0.4,4.8,Quincy,"         $171,116,575.20","           9,630.2","              $17,768.75","         $191,236,533.00","           9,876.6","              $19,362.59",2022
Ralph C Mahar - Ralph C Mahar Regional,07550505,18,606.0,541.0,     543,13.4,        527,45.7,52.2,1.3,26.2,56.6,07550000,1.5,1.1,9.7,84.4,0.0,0.0,3.2,Ralph C Mahar,"          $12,509,820.39",             555.5,"              $22,519.93","          $14,523,837.84",             663.0,"              $21,906.24",2022
Randolph - Randolph High,02440505,42,538.0,552.0,     274,17.3,        651,43.6,56.4,16.4,20.4,59.8,02440000,51.5,19.4,17.1,8.5,0.2,0.0,3.5,Randolph,"          $62,451,873.00","           2,639.1","              $23,664.08","          $73,021,413.65","           3,261.9","              $22,386.16",2022
Reading - Reading Memorial High,02460505,379,581.0,586.0,     600,15.0,"      1,102",46.2,53.4,1.3,16.6,11.2,02460000,3.5,4.8,3.3,86.1,0.1,0.1,2.1,Reading,"          $64,078,556.16","           3,845.5","              $16,663.26","          $69,389,904.66","           3,933.0","              $17,643.00",2022
Revere - Revere High,02480505,278,517.0,524.0,     974,19.5,"      2,202",47.5,52.4,23.4,11.6,64.7,02480000,4.1,3.9,64.7,25.8,0.3,0.1,1.2,Revere,"         $126,093,690.40","           7,276.1","              $17,329.85","         $152,636,508.80","           8,020.5","              $19,030.80",2022
Rising Tide Charter Public (District) - Rising Tide Charter Public School,04830305,70,557.0,538.0,     305,17.2,        627,50.4,49.0,1.3,27.3,23.3,04830000,1.3,2.1,4.9,83.3,0.6,0.0,7.8,Rising Tide Charter Public (District),"          $10,734,269.33",             650.3,"              $16,506.13","          $10,734,269.33",             650.3,"              $16,506.13",2022
Rockland - Rockland Senior High,02510505,92,523.0,518.0,     276,14.9,        645,47.8,52.1,7.3,16.1,45.4,02510000,6.5,1.7,19.5,68.4,1.1,0.2,2.6,Rockland,"          $42,401,140.89","           2,145.1","              $19,766.51","          $47,230,458.89","           2,314.4","              $20,407.22",2022
Rockport - Rockport High,02520510,41,580.0,570.0,     185,10.6,        231,40.3,59.7,0.9,26.4,27.7,02520000,1.7,1.3,5.2,88.7,0.0,0.0,3.0,Rockport,"          $18,766,506.00",             747.1,"              $25,119.14","          $21,579,460.00",             799.8,"              $26,981.07",2022
Roxbury Preparatory Charter (District) - Roxbury Preparatory Charter School,04840505,239,452.0,450.0,       0,0.0,          0,0.0,0.0,0.0,0.0,0.0,04840000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Roxbury Preparatory Charter (District),"          $30,796,027.87","           1,501.6","              $20,509.49","          $30,796,027.87","           1,501.6","              $20,509.49",2022
Salem - Salem High,02580505,120,494.0,468.0,     560,14.3,        926,47.3,52.4,17.0,25.1,65.6,02580000,8.4,2.5,48.4,36.9,0.1,0.2,3.5,Salem,"          $86,918,074.00","           3,720.4","              $23,362.56","         $101,392,499.00","           4,363.7","              $23,235.44",2022
Salem Academy Charter (District) - Salem Academy Charter School,04850485,129,509.0,492.0,     249,18.3,        488,50.6,48.8,3.7,17.6,50.2,04850000,11.7,5.5,49.6,30.9,0.0,0.0,2.3,Salem Academy Charter (District),"           $8,461,353.18",             490.2,"              $17,261.02","           $8,461,353.18",             490.2,"              $17,261.02",2022
Sandwich - Sandwich High,02610505,130,551.0,537.0,     599,14.4,        929,48.1,51.2,0.8,23.5,20.2,02610000,1.4,2.9,3.2,90.3,0.1,0.3,1.7,Sandwich,"          $49,824,833.00","           2,300.1","              $21,662.03","          $57,551,631.07","           2,606.8","              $22,077.50",2022
Saugus - Saugus High,02620505,97,539.0,513.0,     402,15.0,        736,47.0,52.9,9.1,12.1,46.5,02620000,7.1,4.5,32.7,53.0,0.5,0.5,1.6,Saugus,"          $43,953,316.47","           2,510.8","              $17,505.70","          $53,394,107.51","           2,854.4","              $18,705.90",2022
