,School Name,Grade,District Name, Average % ACT Composite Score , % Students in grade 9-12 that took the ACT, School Enrollment ,School % FRL,School % White,School % Hispanic,School % Black,School % Other Races,School Overall % Minority,Region, Number of Students in Grades 9-12 , % Students in grade 9-12 that took the ACT2,Average ACT Reading Score,Average ACT English Score,Average ACT Math Score,Average ACT Science Score,Average ACT Composite Score, Number of Students taking AP exams , Number of AP Exams Taken ,% of Exams that scored 3 or Above,Is Open Enrollment Charter,School LEA,DLEA,Year
276,Van Buren High School,10-12,Van Buren School District,20.05,69%,1210,51%,66%,19%,2%,12%,34%,1,1210,69%,20.53,19.47,19.37,20.2,20.05,378,503,49%,0,1705027,1705000,2019
277,Vilonia High School,9-12,Vilonia School District,19.93,51%,1004,33%,94%,4%,1%,1%,6%,3,1004,51%,20.96,19.73,18.86,19.55,19.93,190,287,47%,0,2307034,2307000,2019
278,Viola High School,7-12,Viola School District,18,59%,157,68%,97%,1%,0%,2%,3%,2,100,59%,18.28,16.84,16.8,19.32,18, N<10 , N/A ,N/A,0,2503010,2503000,2019
279,Waldron High School,9-12,Waldron School District,19.96,43%,416,69%,72%,19%,1%,8%,28%,1,416,43%,20.99,19.44,18.73,20.18,19.96,96,86,10%,0,6401003,6401000,2019
280,Walnut Ridge High School,7-12,Lawrence County School District,18.38,48%,433,54%,92%,3%,1%,4%,8%,2,296,48%,18.66,18.36,17.09,18.69,18.38,74,10,80%,0,3810027,3810000,2019
281,Warren High School District Conversion Charter,9-12,Warren School District,17.76,52%,465,70%,45%,22%,31%,2%,55%,5,465,52%,18.47,16.98,16.6,18.17,17.76, N<10 , N<10 ,89%,0,602703,602000,2019
282,Watson Chapel High School,10-12,Watson Chapel School District,16.54,68%,536,65%,14%,3%,82%,1%,86%,3,536,68%,17,15.56,16.15,16.98,16.54,193,84,6%,0,3509067,3509000,2019
283,West Fork High School,9-12,West Fork School District,19.67,53%,331,48%,85%,5%,1%,10%,15%,1,331,53%,19.99,19.45,18.51,20.1,19.67,26,26,46%,0,7208062,7208000,2019
284,West Little Rock Classical Academy,6-12,Responsive Ed Solutions Northwest Arkansas Classical Academy,15.67,41%,150,48%,56%,3%,33%,8%,44%,3,98,41%,15.89,16,14.78,14.78,15.67, N<10 , N<10 ,50%,1,442706,442700,2019
285,West Side High School,7-12,West Side School District (Cleburne),19.68,38%,218,66%,100%,0%,0%,0%,0%,2,138,38%,20.64,19.77,17.23,20.09,19.68, N<10 , N<10 ,RV,0,1204015,1204000,2019
286,Western Grove K-12 School,K-12,Ozark Mountain School District,18.2,42%,271,69%,95%,3%,0%,2%,5%,1,91,42%,20.13,17.87,17.27,16.67,18.2, N/A , N/A ,N/A,0,6505016,6505000,2019
287,Western Yell Co. High School,7-12,Western Yell Co. School District,18.29,45%,174,85%,72%,22%,1%,6%,28%,1,122,45%,19,16.86,17.95,18.57,18.29, N<10 ,10,RV,0,7509033,7509000,2019
288,Westside High School,8-12,Westside Cons. School District (Craighead),19.83,49%,659,49%,94%,3%,2%,2%,6%,2,520,49%,20.66,20.51,17.85,19.6,19.83,73,105,23%,0,1602055,1602000,2019
289,Westside High School,7-12,Westside School District (Johnson),16.89,44%,260,67%,93%,3%,0%,3%,7%,1,165,44%,17.75,16.06,16.61,16.64,16.89, N<10 , N<10 ,89%,0,3606026,3606000,2019
290,White Co. Central High School,7-12,White Co. Central School District,17.13,43%,332,72%,84%,12%,1%,3%,16%,2,209,43%,17.6,16,17.18,17.67,17.13, N<10 ,10,20%,0,7304019,7304000,2019
291,White Hall High School,9-12,White Hall School District,19.5,50%,898,43%,66%,3%,26%,5%,34%,3,898,50%,20.08,19.03,18.45,19.8,19.5,169,273,46%,0,3510076,3510000,2019
292,Wonderview High School,7-12,Wonderview School District,19.41,47%,193,50%,94%,3%,2%,2%,6%,1,131,47%,20.7,18.11,18.19,19.78,19.41,31,29,21%,0,1505026,1505000,2019
293,Woodlawn High School,7-12,Woodlawn School District,20.35,61%,284,41%,88%,5%,1%,7%,12%,5,185,61%,21.73,20.04,18.87,20.35,20.35,61,38,16%,0,1304015,1304000,2019
294,Wynne High School,9-12,Wynne School District,19.81,46%,780,51%,65%,2%,31%,2%,35%,2,780,46%,20.7,19.68,18.49,19.92,19.81,50,83,36%,0,1905017,1905000,2019
295,Yellville-Summit High School,7-12,Yellville-Summit School District,19.59,48%,391,72%,97%,1%,1%,1%,3%,1,244,48%,20.25,19.73,18.18,19.71,19.59,51,46,28%,0,4502006,4502000,2019
