,School Name,Grades,District Name,Math: % Met Readiness Benchmark,English: % Met Readiness Benchmark,Reading: % Met Readiness Benchmark,Science: % Met Readiness Benchmark,% Met Readiness Benchmark in all Four Subjects, School Enrollment ,School % FRL,School % White,School % Hispanic,School % Black,School % Other Races,School Overall % Minority,Region,Number of Students in Grade 11, Number of Students in grade 11 that took the ACT, % Students in grade 11 that took the ACT in 2015-16, Average ACT Math Score , Average ACT English Score , Average ACT Reading Score , Average ACT Science Score ,Is Open Enrollment Charter,County,School LEA,DLEA,Year
262,South Side High School,7-12,South Side School District (Van Buren),14%,27%,27%,11%,11%,247,47%,92%,3%,1%,4%,8%,1,40,37,93%,16.4,15.6,18.8,16.8,0,VAN BUREN,7105019,7105000,2023
263,Southside Charter High School,10-12,Southside School District (Independence),19%,44%,25%,20%,6%,444,50%,88%,9%,1%,2%,12%,2,168,129,77%,18.4,18,18.2,19.1,0,INDEPENDENCE,3209703,3209000,2023
264,Southside High School,9-12,Fort Smith School District,29%,59%,40%,30%,19%,1970,47%,55%,21%,6%,18%,45%,1,471,429,91%,18.8,19.7,19.8,19.8,0,SEBASTIAN,6601025,6601000,2023
265,Spring Hill High School,7-12,Spring Hill School District,6%,36%,19%,11%,4%,286,55%,87%,7%,0%,6%,13%,4,54,53,98%,16.4,16.8,17.4,16.8,0,HEMPSTEAD,2906026,2906000,2023
266,Springdale High School,10-12,Springdale School District,17%,37%,25%,18%,12%,2195,85%,15%,58%,3%,24%,85%,1,800,320,40%,17.3,16.3,17.2,17.8,0,WASHINGTON,7207049,7207000,2023
267,St. Paul High School,7-12,Huntsville School District,18%,36%,27%,18%,9%,107,75%,84%,6%,1%,9%,16%,1,12,11,92%,16.9,16.3,17.5,18.7,0,MADISON,4401012,4401000,2023
268,Star City High School,9-12,Star City School District,10%,22%,21%,15%,5%,416,74%,67%,10%,17%,5%,33%,5,99,95,96%,16,14.5,17.1,17.2,0,LINCOLN,4003016,4003000,2023
269,Strong-Huttig Schools,K-12,Strong-Huttig School District,RV,10%,3%,3%,RV,309,94%,18%,1%,79%,2%,82%,4,31,30,97%,14.2,12.3,13.3,14,0,UNION,7009050,7009000,2023
270,Stuttgart High School,9-12,Stuttgart School District,11%,28%,19%,15%,10%,501,40%,46%,10%,41%,3%,54%,5,106,100,94%,16.7,15.2,17.1,17.1,0,ARKANSAS,104025,104000,2023
271,Sylvan Hills High School,10-12,Pulaski County Special School District,17%,50%,30%,21%,12%,1090,40%,39%,8%,46%,7%,61%,3,355,277,78%,17.1,17.8,18.2,18.4,0,PULASKI,6003128,6003000,2023
272,Taylor High School,7-12,Emerson-Taylor-Bradley School District,2%,38%,26%,24%,2%,259,27%,94%,3%,0%,2%,6%,4,47,42,89%,16.5,16.7,19,19.1,0,COLUMBIA,1408019,1408000,2023
273,The Academies At Jonesboro High School,10-12,Jonesboro School District,12%,38%,27%,19%,9%,1435,66%,35%,16%,43%,5%,65%,2,482,402,83%,16.5,16.1,17.6,18.1,0,CRAIGHEAD,1608027,1608000,2023
274,The Academies Of West Memphis Charter School,10-12,West Memphis School District,6%,29%,16%,5%,3%,944,72%,16%,2%,80%,1%,84%,2,319,208,65%,15.6,15.3,16.2,16.3,0,CRITTENDEN,1803703,1803000,2023
275,Timbo High School,7-12,Mountain View School District,RV,35%,18%,12%,RV,103,87%,93%,4%,1%,2%,7%,2,18,17,94%,16.4,15.8,17.9,18.8,0,STONE,6901016,6901000,2023
276,Trumann High School,9-12,Trumann School District,10%,28%,13%,11%,7%,453,70%,74%,7%,15%,4%,26%,2,100,98,98%,15.9,14.8,16.6,17.3,0,POINSETT,5605023,5605000,2023
277,Tuckerman High School,8-12,Jackson Co. School District,14%,47%,37%,23%,12%,306,65%,85%,3%,6%,6%,15%,2,48,43,90%,17.1,19.1,19.1,17.5,0,JACKSON,3405025,3405000,2023
278,Two Rivers High School,5-12,Two Rivers School District,7%,41%,30%,24%,2%,435,78%,74%,17%,0%,8%,26%,1,61,46,75%,16.2,16.7,18.2,18.8,0,YELL,7510019,7510000,2023
279,Umpire K-12 School,K-12,Cossatot River School District,N<10,N<10,N<10,N<10,N<10,92,77%,70%,28%,0%,2%,30%,4,5,N<10,N<10, N<10 , N<10 , N<10 , N<10 ,0,POLK,5707024,5707000,2023
280,Valley Springs High School,9-12,Valley Springs School District,22%,60%,28%,25%,13%,264,42%,96%,3%,0%,1%,4%,1,61,60,98%,17.7,18.9,18.8,19.5,0,BOONE,505027,505000,2023
281,Valley View High School,10-12,Valley View School District,32%,70%,53%,46%,25%,673,20%,84%,5%,4%,7%,16%,2,214,199,93%,19.7,21.1,22,21.5,0,CRAIGHEAD,1612048,1612000,2023
282,Van Buren High School,10-12,Van Buren School District,24%,50%,31%,26%,16%,1228,50%,63%,23%,2%,12%,37%,1,395,362,92%,18.1,17.7,18.2,19,0,CRAWFORD,1705027,1705000,2023
283,Vilonia High School,9-12,Vilonia School District,29%,55%,39%,36%,23%,840,36%,92%,6%,2%,1%,8%,3,214,197,92%,18.7,19.2,19.5,20.2,0,FAULKNER,2307034,2307000,2023
284,Vilonia Pathways Academy,K-12,Vilonia School District,8%,31%,10%,13%,3%,173,41%,89%,7%,1%,3%,11%,3,56,39,70%,15.9,15.3,16,17.8,0,FAULKNER,2307703,2307000,2023
285,Viola High School,7-12,Viola School District,18%,55%,27%,23%,14%,182,69%,95%,2%,1%,3%,5%,2,31,22,71%,18.4,17,19.4,19.2,0,FULTON,2503010,2503000,2023
286,Waldron High School,9-12,Waldron School District,10%,44%,18%,11%,3%,399,68%,75%,16%,1%,7%,25%,1,88,62,70%,16.6,17.1,18,18,0,SCOTT,6401003,6401000,2023
287,Walnut Ridge High School,7-12,Lawrence County School District,6%,51%,29%,24%,4%,463,48%,86%,5%,0%,8%,14%,2,68,55,81%,16.4,17.8,19.1,18.6,0,LAWRENCE,3810027,3810000,2023
288,Warren High School,9-12,Warren School District,2%,21%,9%,5%,1%,480,70%,35%,26%,35%,4%,65%,5,108,87,81%,15.5,13.9,15.7,16.5,0,BRADLEY,602019,602000,2023
289,Watson Chapel High School,9-12,Watson Chapel School District,2%,17%,10%,4%,1%,639,65%,7%,3%,87%,3%,93%,3,163,153,94%,14.4,13.2,14.7,15.8,0,JEFFERSON,3509067,3509000,2023
290,West Fork High School,9-12,West Fork School District,8%,45%,27%,18%,7%,273,35%,85%,6%,0%,9%,15%,1,77,73,95%,16.1,17.4,17.6,17.8,0,WASHINGTON,7208062,7208000,2023
291,West Little Rock Classical Academy,7-12,Responsive Ed Solutions Northwest Ark Classical Academy,N<10,N<10,N<10,N<10,N<10,96,22%,45%,9%,38%,8%,55%,3,12,N<10,N<10, N<10 , N<10 , N<10 , N<10 ,1,PULASKI,442706,442700,2023
292,West Side High School,7-12,West Side School District (Cleburne),RV,47%,27%,17%,RV,224,66%,97%,2%,0%,1%,3%,2,34,30,88%,16.4,16.7,17.6,16.9,0,CLEBURNE,1204015,1204000,2023
293,Western Yell Co. High School,7-12,Western Yell Co. School District,4%,30%,30%,26%,RV,151,91%,74%,16%,1%,10%,26%,1,25,23,92%,15.3,16.6,18.6,17.6,0,YELL,7509033,7509000,2023
294,Westside High School,8-12,Westside Cons. School District (Craighead),6%,34%,21%,15%,5%,694,49%,92%,3%,3%,2%,8%,2,133,125,94%,16.2,15.7,17.6,17.6,0,CRAIGHEAD,1602055,1602000,2023
295,Westside High School,6-12,Westside School District (Johnson),3%,24%,15%,12%,3%,332,67%,91%,6%,0%,3%,9%,1,34,33,97%,15.3,14.3,17,17.1,0,JOHNSON,3606026,3606000,2023
296,White Co. Central High School,7-12,White Co. Central School District,22%,39%,27%,16%,8%,331,57%,85%,11%,0%,4%,15%,2,51,49,96%,17.5,16.5,17.4,17.8,0,WHITE,7304019,7304000,2023
297,White Hall High School,9-12,White Hall School District,9%,32%,19%,7%,3%,975,49%,61%,3%,31%,5%,39%,3,217,180,83%,16.3,15.3,17.3,17.1,0,JEFFERSON,3510076,3510000,2023
298,Wonderview High School,7-12,Wonderview School District,7%,39%,29%,16%,3%,222,53%,94%,2%,1%,3%,6%,1,34,31,91%,16.1,15.8,18.3,17.8,0,CONWAY,1505026,1505000,2023
299,Woodlawn High School,7-12,Woodlawn School District,16%,38%,22%,18%,8%,269,49%,90%,6%,1%,3%,10%,5,52,50,96%,16.9,16.4,17.6,18.8,0,CLEVELAND,1304015,1304000,2023
300,Wynne High School,9-12,Wynne School District,12%,49%,26%,17%,8%,744,52%,68%,4%,26%,2%,32%,2,191,129,68%,17.1,17.4,18.3,17.9,0,CROSS,1905017,1905000,2023
301,Yellville-Summit High School,9-12,Yellville-Summit School District,13%,46%,27%,18%,13%,337,71%,95%,1%,1%,2%,5%,1,92,78,85%,16.7,17.9,17.9,18.7,0,MARION,4502006,4502000,2023
