School Name,District Name,Reading/Writing Score,Math Score,Grads_Mskd,Exnees_Mskd,Part_Rate,Crit_Mskd,Above_Crit_Rate,TSI_Both_Mskd,Above_TSI_Both_Rate,state_name_x,latitude,longitude,address,zip_code,county_name_x,city_name,county_code,Street Address,Tract,unique_id,year,tract_number,county_name_y,state_name_y,Population 18 to 24 years (estimate),"18-24, less than high school graduate (estimate)","18-24, high school graduate or eq. (estimate)","18-24, some college or associate's degree (estimate)","18-24, bachelor's degree or higher",Population 25 years and over (estimate),"25 and over, less than 9th grade (estimate)","25 and over, 9th to 12th grade, no diploma (estimate)","25 and over, high school graduate or eq. (estimate)","25 and over, some college, no degree (estimate)","25 and over, associate's degree (estimate)","25 and over, bachelor's degree (estimate)","25 and over, graduate or professional degree (estimate)","18-24, less than high school graduate (percentage)","18-24, high school graduate or eq. (percentage)","18-24, some college or associate's degree (percentage)","18-24, bachelor's degree or higher (percentage)","25 and over, less than 9th grade (percentage)","25 and over, 9th to 12th grade, no diploma (percentage)","25 and over, high school graduate or eq. (percentage)","25 and over, some college, no degree (percentage)","25 and over, associate's degree (percentage)","25 and over, bachelor's degree (percentage)","25 and over, graduate or professional degree (percentage)",Total number of households,Median household income (dollars),Mean household income (dollars),Total population,Hispanic or Latino (estimate),Hispanic or Latino (percentage),Not Hispanic or Latino (estimate),Not Hispanic or Latino (percentage),White alone (estimate),White alone (percentage),Black or African American alone (estimate),Black or African American alone (percentage),American Indian and Alaska Native alone (estimate),American Indian and Alaska Native alone (percentage),Asian alone (estimate),Asian alone (percentage),Native Hawaiian and Other Pacific Islander alone (estimate),Native Hawaiian and Other Pacific Islander alone (percentage),Some other race alone (estimate),Some other race alone (percentage),Two or more races alone (estimate),Two or more races alone (percentage)
Garden City H S,Glasscock County ISD,507.0,498.0,<25,<25,26.1,<25,16.7,<25,33.3,Texas,31.86681949999999,-101.4852971,240 Bearkat Avenue,79739,Glasscock County,Garden City,48173,"240 Bearkat Avenue, Garden City, Texas, 79739",950100,48173950100,2020.0,950100.0,Glasscock County,Texas,233.0,65.0,52.0,90.0,26.0,935.0,215.0,72.0,213.0,171.0,26.0,169.0,69.0,27.9,22.3,38.6,11.2,23.0,7.7,22.8,18.3,2.8,18.1,7.4,435.0,74375.0,100166.0,1447.0,554.0,38.3,893.0,61.7,872.0,60.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,1.5
Goliad H S,Goliad ISD,541.0,536.0,104,40,38.5,8,20.0,22,55.0,Texas,28.6768627,-97.3941773,746 N Tiger Dr,77963,Goliad County,Goliad,48175,"746 N Tiger Dr, Goliad, Texas, 77963",960200,48175960200,2020.0,960200.0,Goliad County,Texas,197.0,56.0,58.0,83.0,0.0,2212.0,322.0,103.0,569.0,509.0,288.0,295.0,126.0,28.4,29.4,42.1,0.0,14.6,4.7,25.7,23.0,13.0,13.3,5.7,1219.0,39102.0,73554.0,3102.0,1309.0,42.2,1793.0,57.8,1664.0,53.6,85.0,2.7,0.0,0.0,31.0,1.0,0.0,0.0,0.0,0.0,13.0,0.4
Gonzales H S,Gonzales ISD,486.0,480.0,199,72,36.2,5,6.9,16,22.2,Texas,29.5213966,-97.4393844,1801 North Sarah Dewitt Drive,78629,Gonzales County,Gonzales,48177,"1801 North Sarah Dewitt Drive, Gonzales, Texas, 78629",000300,48177000300,2020.0,300.0,Gonzales County,Texas,229.0,75.0,122.0,15.0,17.0,2047.0,270.0,150.0,1050.0,201.0,80.0,235.0,61.0,32.8,53.3,6.6,7.4,13.2,7.3,51.3,9.8,3.9,11.5,3.0,1259.0,41336.0,60947.0,3360.0,1723.0,51.3,1637.0,48.7,1047.0,31.2,541.0,16.1,0.0,0.0,49.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0
Nixon-Smiley H S,Nixon-Smiley CISD,461.0,456.0,<75,<50,38.5,<25,4.0,<25,16.0,Texas,29.2763946,-97.76426389999999,800 North Rancho Road,78140,Gonzales County,Nixon,48177,"800 North Rancho Road, Nixon, Texas, 78140",000500,48177000500,2020.0,500.0,Gonzales County,Texas,361.0,69.0,184.0,102.0,6.0,2460.0,330.0,425.0,1190.0,273.0,96.0,82.0,64.0,19.1,51.0,28.3,1.7,13.4,17.3,48.4,11.1,3.9,3.3,2.6,1386.0,60050.0,68931.0,4025.0,2756.0,68.5,1269.0,31.5,1138.0,28.3,124.0,3.1,0.0,0.0,0.0,0.0,7.0,0.2,0.0,0.0,0.0,0.0
Waelder School,Waelder ISD,430.0,410.0,<25,<25,100.0,<25,,<25,,Texas,29.63393619999999,-97.3084571,,N/A,Gonzales County,N/A,48177,,000100,48177000100,2020.0,100.0,Gonzales County,Texas,169.0,30.0,118.0,14.0,7.0,2384.0,259.0,315.0,1162.0,468.0,54.0,94.0,32.0,17.8,69.8,8.3,4.1,10.9,13.2,48.7,19.6,2.3,3.9,1.3,1107.0,58456.0,73300.0,3031.0,1446.0,47.7,1585.0,52.3,1334.0,44.0,153.0,5.0,0.0,0.0,6.0,0.2,0.0,0.0,0.0,0.0,92.0,3.0
Pampa H S,Pampa ISD,558.0,534.0,<225,<25,7.1,<25,25.0,<25,50.0,Texas,35.550785,-100.9647609,111 East Harvester Avenue,79065,Gray County,Pampa,48179,"111 East Harvester Avenue, Pampa, Texas, 79065",950300,48179950300,2020.0,950300.0,Gray County,Texas,188.0,15.0,48.0,105.0,20.0,2926.0,103.0,105.0,677.0,1008.0,182.0,544.0,307.0,8.0,25.5,55.9,10.6,3.5,3.6,23.1,34.4,6.2,18.6,10.5,1608.0,86607.0,128749.0,4202.0,463.0,11.0,3739.0,89.0,3497.0,83.2,36.0,0.9,35.0,0.8,16.0,0.4,47.0,1.1,0.0,0.0,108.0,2.6
Bells H S,Bells ISD,533.0,521.0,66,34,51.5,10,29.4,15,44.1,Texas,33.63343589999999,-96.4057498,1500 Ole Ambrose Road,75414,Grayson County,Bells,48181,"1500 Ole Ambrose Road, Bells, Texas, 75414",000101,48181000101,2020.0,101.0,Grayson County,Texas,257.0,25.0,132.0,100.0,0.0,3802.0,209.0,244.0,1164.0,925.0,474.0,548.0,238.0,9.7,51.4,38.9,0.0,5.5,6.4,30.6,24.3,12.5,14.4,6.3,2001.0,54627.0,73583.0,5093.0,699.0,13.7,4394.0,86.3,4084.0,80.2,8.0,0.2,60.0,1.2,63.0,1.2,0.0,0.0,0.0,0.0,179.0,3.5
Collinsville H S,Collinsville ISD,515.0,480.0,<50,<25,5.6,<25,,<25,,Texas,33.5621087,-96.90422799999999,202 North Broadway Street,76233,Grayson County,Collinsville,48181,"202 North Broadway Street, Collinsville, Texas, 76233",001902,48181001902,2020.0,1902.0,Grayson County,Texas,427.0,58.0,216.0,117.0,36.0,2891.0,129.0,187.0,931.0,818.0,199.0,437.0,190.0,13.6,50.6,27.4,8.4,4.5,6.5,32.2,28.3,6.9,15.1,6.6,1718.0,70156.0,84683.0,4703.0,633.0,13.5,4070.0,86.5,3865.0,82.2,111.0,2.4,12.0,0.3,20.0,0.4,6.0,0.1,0.0,0.0,56.0,1.2
Denison H S,Denison ISD,557.0,543.0,283,73,25.8,24,32.9,42,57.5,Texas,33.7925507,-96.5485274,4200 Texas 91,75020,Grayson County,Denison,48181,"4200 Texas 91, Denison, Texas, 75020",000302,48181000302,2020.0,302.0,Grayson County,Texas,327.0,40.0,207.0,76.0,4.0,3921.0,24.0,275.0,1415.0,956.0,384.0,582.0,285.0,12.2,63.3,23.2,1.2,0.6,7.0,36.1,24.4,9.8,14.8,7.3,1857.0,66790.0,87048.0,5217.0,222.0,4.3,4995.0,95.7,4710.0,90.3,0.0,0.0,38.0,0.7,37.0,0.7,0.0,0.0,0.0,0.0,210.0,4.0
Howe H S,Howe ISD,534.0,500.0,<75,<25,27.5,<25,5.3,<25,31.6,Texas,33.52823,-96.609189,200 Ponderosa Road,75459,Grayson County,Howe,48181,"200 Ponderosa Road, Howe, Texas, 75459",001801,48181001801,2020.0,1801.0,Grayson County,Texas,566.0,38.0,320.0,201.0,7.0,4633.0,177.0,136.0,1418.0,1249.0,496.0,744.0,413.0,6.7,56.5,35.5,1.2,3.8,2.9,30.6,27.0,10.7,16.1,8.9,2418.0,69369.0,85297.0,6698.0,782.0,11.7,5916.0,88.3,5070.0,75.7,227.0,3.4,210.0,3.1,47.0,0.7,0.0,0.0,5.0,0.1,357.0,5.3
Sherman H S,Sherman ISD,494.0,484.0,388,355,91.5,59,16.6,102,28.7,Texas,33.6009243,-96.635882,2907 West Travis Street,75092,Grayson County,Sherman,48181,"2907 West Travis Street, Sherman, Texas, 75092",000903,48181000903,2020.0,902.0,Grayson County,Texas,161.0,1.0,25.0,135.0,0.0,2360.0,101.0,83.0,666.0,479.0,501.0,341.0,189.0,0.6,15.5,83.9,0.0,4.3,3.5,28.2,20.3,21.2,14.4,8.0,1359.0,37554.0,55891.0,3102.0,87.0,2.8,3015.0,97.2,2801.0,90.3,183.0,5.9,2.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,29.0,0.9
Tioga School,Tioga ISD,549.0,513.0,42,28,66.7,8,28.6,13,46.4,Texas,33.4712785,-96.9133667,405 North Florence Street,76271,Grayson County,Tioga,48181,"405 North Florence Street, Tioga, Texas, 76271",001902,48181001902,2020.0,1902.0,Grayson County,Texas,427.0,58.0,216.0,117.0,36.0,2891.0,129.0,187.0,931.0,818.0,199.0,437.0,190.0,13.6,50.6,27.4,8.4,4.5,6.5,32.2,28.3,6.9,15.1,6.6,1718.0,70156.0,84683.0,4703.0,633.0,13.5,4070.0,86.5,3865.0,82.2,111.0,2.4,12.0,0.3,20.0,0.4,6.0,0.1,0.0,0.0,56.0,1.2
Van Alstyne H S,Van Alstyne ISD,579.0,532.0,128,28,21.9,8,28.6,15,53.6,Texas,33.4142129,-96.59675399999999,700 Collin Mckinney Parkway,75495,Grayson County,Van Alstyne,48181,"700 Collin Mckinney Parkway, Van Alstyne, Texas, 75495",001803,48181001803,2020.0,1803.0,Grayson County,Texas,766.0,150.0,358.0,188.0,70.0,4672.0,119.0,161.0,1559.0,1423.0,383.0,847.0,180.0,19.6,46.7,24.5,9.1,2.5,3.4,33.4,30.5,8.2,18.1,3.9,2249.0,92425.0,104634.0,7217.0,887.0,12.3,6330.0,87.7,5319.0,73.7,507.0,7.0,21.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,483.0,6.7
Whitesboro H S,Whitesboro ISD,546.0,525.0,<100,<25,8.4,<25,25.0,<25,50.0,Texas,33.6621031,-96.92297169999999,1 Bearcat Drive,76273,Grayson County,Whitesboro,48181,"1 Bearcat Drive, Whitesboro, Texas, 76273",001103,48181001103,2020.0,1103.0,Grayson County,Texas,309.0,0.0,104.0,68.0,137.0,3020.0,157.0,119.0,1029.0,781.0,309.0,301.0,324.0,0.0,33.7,22.0,44.3,5.2,3.9,34.1,25.9,10.2,10.0,10.7,1663.0,70907.0,114140.0,4216.0,198.0,4.7,4018.0,95.3,3801.0,90.2,112.0,2.7,13.0,0.3,87.0,2.1,0.0,0.0,0.0,0.0,5.0,0.1
Whitewright H S,Whitewright ISD,511.0,483.0,<75,<75,87.9,<25,10.3,<25,22.4,Texas,33.5043646,-96.39589199999999,304 Echols Lane,75491,Grayson County,Whitewright,48181,"304 Echols Lane, Whitewright, Texas, 75491",000102,48181000102,2020.0,102.0,Grayson County,Texas,188.0,42.0,65.0,81.0,0.0,2088.0,58.0,161.0,533.0,698.0,244.0,254.0,140.0,22.3,34.6,43.1,0.0,2.8,7.7,25.5,33.4,11.7,12.2,6.7,1298.0,67845.0,69750.0,3110.0,156.0,5.0,2954.0,95.0,2699.0,86.8,162.0,5.2,9.0,0.3,7.0,0.2,0.0,0.0,0.0,0.0,77.0,2.5
Pottsboro H S,Pottsboro ISD,562.0,533.0,108,57,52.8,17,29.8,30,52.6,Texas,33.764545,-96.65233959999999,901 Farm to Market 120,75076,Grayson County,Pottsboro,48181,"901 Farm to Market 120, Pottsboro, Texas, 75076",000302,48181000302,2020.0,302.0,Grayson County,Texas,327.0,40.0,207.0,76.0,4.0,3921.0,24.0,275.0,1415.0,956.0,384.0,582.0,285.0,12.2,63.3,23.2,1.2,0.6,7.0,36.1,24.4,9.8,14.8,7.3,1857.0,66790.0,87048.0,5217.0,222.0,4.3,4995.0,95.7,4710.0,90.3,0.0,0.0,38.0,0.7,37.0,0.7,0.0,0.0,0.0,0.0,210.0,4.0
S And S Cons H S,S And S CISD,506.0,499.0,<75,<50,78.0,<25,10.9,<25,32.6,Texas,33.6772041,-96.84989159999999,404 South Main Street,76264,Grayson County,Sadler,48181,"404 South Main Street, Sadler, Texas, 76264",001104,48181001104,2020.0,1104.0,Grayson County,Texas,288.0,5.0,68.0,187.0,28.0,2172.0,35.0,177.0,776.0,496.0,304.0,182.0,202.0,1.7,23.6,64.9,9.7,1.6,8.1,35.7,22.8,14.0,8.4,9.3,1141.0,72250.0,78681.0,2721.0,122.0,4.5,2599.0,95.5,2549.0,93.7,0.0,0.0,19.0,0.7,28.0,1.0,3.0,0.1,0.0,0.0,0.0,0.0
Gunter H S,Gunter ISD,530.0,515.0,88,72,81.8,18,25.0,30,41.7,Texas,33.4575548,-96.73891839999999,1102 North 8th Street,75058,Grayson County,Gunter,48181,"1102 North 8th Street, Gunter, Texas, 75058",001901,48181001901,2020.0,1901.0,Grayson County,Texas,797.0,61.0,205.0,491.0,40.0,4565.0,226.0,192.0,1040.0,1121.0,685.0,901.0,400.0,7.7,25.7,61.6,5.0,5.0,4.2,22.8,24.6,15.0,19.7,8.8,2409.0,94811.0,113591.0,7579.0,1122.0,14.8,6457.0,85.2,6090.0,80.4,51.0,0.7,14.0,0.2,66.0,0.9,0.0,0.0,0.0,0.0,236.0,3.1
Tom Bean H S,Tom Bean ISD,487.0,479.0,<50,<50,82.9,<25,10.3,<25,24.1,Texas,33.5275548,-96.4978622,7719 Texas 11,75489,Grayson County,Tom Bean,48181,"7719 Texas 11, Tom Bean, Texas, 75489",001802,48181001802,2020.0,1802.0,Grayson County,Texas,415.0,24.0,208.0,183.0,0.0,3676.0,118.0,131.0,839.0,1285.0,481.0,585.0,237.0,5.8,50.1,44.1,0.0,3.2,3.6,22.8,35.0,13.1,15.9,6.4,1811.0,78860.0,94237.0,5437.0,571.0,10.5,4866.0,89.5,4628.0,85.1,72.0,1.3,0.0,0.0,6.0,0.1,0.0,0.0,29.0,0.5,131.0,2.4
Dan Chadwick Campus,East Texas Charter Schools,550.0,550.0,<50,<25,6.4,<25,,<25,66.7,Texas,31.9685988,-99.9018131,,N/A,Runnels County,N/A,48399,,950100,48399950100,2020.0,950100.0,Runnels County,Texas,94.0,45.0,31.0,18.0,0.0,925.0,49.0,26.0,298.0,206.0,66.0,252.0,28.0,47.9,33.0,19.1,0.0,5.3,2.8,32.2,22.3,7.1,27.2,3.0,518.0,58182.0,84798.0,1210.0,172.0,14.2,1038.0,85.8,978.0,80.8,32.0,2.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,2.3
Gladewater H S,Gladewater ISD,500.0,497.0,<125,<25,11.8,<25,15.4,<25,46.2,Texas,32.5476223,-94.9641034,2201 West Gay Avenue,75647,Upshur County,Gladewater,48459,"2201 West Gay Avenue, Gladewater, Texas, 75647",950600,48459950600,2020.0,950600.0,Upshur County,Texas,233.0,37.0,70.0,110.0,16.0,2605.0,69.0,236.0,863.0,793.0,157.0,330.0,157.0,15.9,30.0,47.2,6.9,2.6,9.1,33.1,30.4,6.0,12.7,6.0,1258.0,57500.0,72513.0,3759.0,193.0,5.1,3566.0,94.9,3186.0,84.8,194.0,5.2,0.0,0.0,69.0,1.8,0.0,0.0,11.0,0.3,106.0,2.8
Kilgore H S,Kilgore ISD,524.0,497.0,242,50,20.7,8,16.0,18,36.0,Texas,32.3941521,-94.87227360000001,711 North Longview Street,75662,Gregg County,Kilgore,48183,"711 North Longview Street, Kilgore, Texas, 75662",010700,48183010700,2020.0,10700.0,Gregg County,Texas,896.0,11.0,460.0,418.0,7.0,2548.0,382.0,553.0,821.0,361.0,171.0,148.0,112.0,1.2,51.3,46.7,0.8,15.0,21.7,32.2,14.2,6.7,5.8,4.4,1494.0,36083.0,52033.0,4923.0,1898.0,38.6,3025.0,61.4,1820.0,37.0,1022.0,20.8,0.0,0.0,19.0,0.4,0.0,0.0,0.0,0.0,164.0,3.3
Longview H S,Longview ISD,503.0,480.0,486,226,46.5,35,15.5,64,28.3,Texas,32.5445318,-94.7432729,201 E Tomlinson Pkwy,75605,Gregg County,Longview,48183,"201 E Tomlinson Pkwy, Longview, Texas, 75605",000401,48183000401,2020.0,401.0,Gregg County,Texas,574.0,107.0,174.0,273.0,20.0,2475.0,7.0,124.0,645.0,977.0,323.0,279.0,120.0,18.6,30.3,47.6,3.5,0.3,5.0,26.1,39.5,13.1,11.3,4.8,1857.0,51006.0,55687.0,3787.0,552.0,14.6,3235.0,85.4,2195.0,58.0,779.0,20.6,9.0,0.2,157.0,4.1,0.0,0.0,0.0,0.0,95.0,2.5
Pine Tree H S,Pine Tree ISD,499.0,488.0,<300,<200,67.5,<50,13.9,<75,28.3,Texas,32.5164907,-94.78198019999999,900 Northwest Drive,75604,Gregg County,Longview,48183,"900 Northwest Drive, Longview, Texas, 75604",000501,48183000501,2020.0,501.0,Gregg County,Texas,296.0,10.0,53.0,186.0,47.0,3788.0,23.0,96.0,649.0,1151.0,303.0,1056.0,510.0,3.4,17.9,62.8,15.9,0.6,2.5,17.1,30.4,8.0,27.9,13.5,2229.0,101079.0,144063.0,4886.0,38.0,0.8,4848.0,99.2,3812.0,78.0,315.0,6.4,0.0,0.0,293.0,6.0,0.0,0.0,0.0,0.0,428.0,8.8
Excel H S Of Choice,Pine Tree ISD,445.0,416.0,<50,<25,34.5,<25,,<25,,Texas,32.5152629,-94.7807287,1005 West Fairmont Street,75604,Gregg County,Longview,48183,"1005 West Fairmont Street, Longview, Texas, 75604",000501,48183000501,2020.0,501.0,Gregg County,Texas,296.0,10.0,53.0,186.0,47.0,3788.0,23.0,96.0,649.0,1151.0,303.0,1056.0,510.0,3.4,17.9,62.8,15.9,0.6,2.5,17.1,30.4,8.0,27.9,13.5,2229.0,101079.0,144063.0,4886.0,38.0,0.8,4848.0,99.2,3812.0,78.0,315.0,6.4,0.0,0.0,293.0,6.0,0.0,0.0,0.0,0.0,428.0,8.8
Sabine H S,Sabine ISD,547.0,536.0,114,47,41.2,12,25.5,20,42.6,Texas,32.4460107,-94.95184789999999,5424 Farm-to-Market 1252 West,75647,Gregg County,Gladewater,48183,"5424 Farm-to-Market 1252 West, Gladewater, Texas, 75647",010402,48183010402,2020.0,10402.0,Gregg County,Texas,311.0,0.0,78.0,233.0,0.0,3327.0,41.0,253.0,917.0,967.0,406.0,519.0,224.0,0.0,25.1,74.9,0.0,1.2,7.6,27.6,29.1,12.2,15.6,6.7,1584.0,73141.0,84601.0,4818.0,441.0,9.2,4377.0,90.8,4013.0,83.3,139.0,2.9,0.0,0.0,34.0,0.7,0.0,0.0,0.0,0.0,191.0,4.0
Spring Hill H S,Spring Hill ISD,538.0,533.0,126,37,29.4,7,18.9,23,62.2,Texas,32.5644089,-94.7953024,2800 East George Richey Road,75605,Gregg County,Longview,48183,"2800 East George Richey Road, Longview, Texas, 75605",010100,48183010100,2020.0,10100.0,Gregg County,Texas,234.0,73.0,10.0,114.0,37.0,4239.0,126.0,177.0,1015.0,1016.0,654.0,738.0,513.0,31.2,4.3,48.7,15.8,3.0,4.2,23.9,24.0,15.4,17.4,12.1,2148.0,97321.0,119382.0,5689.0,441.0,7.8,5248.0,92.2,4528.0,79.6,595.0,10.5,0.0,0.0,42.0,0.7,0.0,0.0,39.0,0.7,44.0,0.8
White Oak H S,White Oak ISD,537.0,530.0,<100,<25,8.0,<25,14.3,<25,57.1,Texas,32.5321052,-94.8614315,200 South White Oak Road,75693,Gregg County,White Oak,48183,"200 South White Oak Road, White Oak, Texas, 75693",010302,48183010302,2020.0,10302.0,Gregg County,Texas,527.0,134.0,277.0,116.0,0.0,3298.0,420.0,227.0,1047.0,645.0,331.0,488.0,140.0,25.4,52.6,22.0,0.0,12.7,6.9,31.7,19.6,10.0,14.8,4.2,1756.0,61029.0,87479.0,5022.0,1047.0,20.8,3975.0,79.2,3699.0,73.7,65.0,1.3,22.0,0.4,0.0,0.0,50.0,1.0,27.0,0.5,112.0,2.2
Anderson-Shiro Jr/Sr H S,Anderson-Shiro CISD,498.0,483.0,<75,<50,50.0,<25,6.1,<25,21.2,Texas,30.4880089,-95.995545,458 Farm to Market 149,77830,Grimes County,Anderson,48185,"458 Farm to Market 149, Anderson, Texas, 77830",180303,48185180303,2020.0,180303.0,Grimes County,Texas,133.0,77.0,48.0,7.0,1.0,1702.0,17.0,146.0,490.0,262.0,141.0,402.0,244.0,57.9,36.1,5.3,0.8,1.0,8.6,28.8,15.4,8.3,23.6,14.3,917.0,85508.0,99793.0,2469.0,288.0,11.7,2181.0,88.3,2152.0,87.2,9.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.8
Iola H S,Iola ISD,556.0,534.0,<50,<50,78.8,<25,23.1,<25,61.5,Texas,30.7669092,-96.0714564,22875 Farm to Market 39,77861,Grimes County,Iola,48185,"22875 Farm to Market 39, Iola, Texas, 77861",180304,48185180304,2020.0,180304.0,Grimes County,Texas,171.0,21.0,93.0,57.0,0.0,1721.0,44.0,48.0,744.0,442.0,219.0,189.0,35.0,12.3,54.4,33.3,0.0,2.6,2.8,43.2,25.7,12.7,11.0,2.0,956.0,79643.0,114963.0,2460.0,139.0,5.7,2321.0,94.3,1947.0,79.1,259.0,10.5,4.0,0.2,7.0,0.3,0.0,0.0,0.0,0.0,104.0,4.2
Navasota H S,Navasota ISD,457.0,466.0,<175,<150,86.1,<25,6.7,<50,21.5,Texas,30.4005732,-96.0689048,1 Rattler Drive,77868,Grimes County,Navasota,48185,"1 Rattler Drive, Navasota, Texas, 77868",180202,48185180202,2020.0,180202.0,Grimes County,Texas,222.0,0.0,107.0,115.0,0.0,2229.0,99.0,115.0,798.0,550.0,16.0,326.0,325.0,0.0,48.2,51.8,0.0,4.4,5.2,35.8,24.7,0.7,14.6,14.6,1222.0,100682.0,97350.0,3198.0,740.0,23.1,2458.0,76.9,1907.0,59.6,551.0,17.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Seguin H S,Seguin ISD,520.0,506.0,<400,<175,40.7,<25,11.9,<75,40.6,Texas,29.5776493,-97.94697289999999,1315 East Cedar Street,78155,Guadalupe County,Seguin,48187,"1315 East Cedar Street, Seguin, Texas, 78155",210400,48187210400,2020.0,210400.0,Guadalupe County,Texas,599.0,210.0,212.0,154.0,23.0,3139.0,184.0,364.0,1281.0,496.0,266.0,424.0,124.0,35.1,35.4,25.7,3.8,5.9,11.6,40.8,15.8,8.5,13.5,4.0,1607.0,48694.0,61066.0,4800.0,2090.0,43.5,2710.0,56.5,2474.0,51.5,211.0,4.4,4.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,21.0,0.4
Mercer & Blumberg Lrn Ctr,Seguin ISD,447.0,390.0,<75,<25,4.7,<25,,<25,,Texas,29.5701848,-97.9675024,118 North Bowie Street,78155,Guadalupe County,Seguin,48187,"118 North Bowie Street, Seguin, Texas, 78155",210300,48187210300,2020.0,210300.0,Guadalupe County,Texas,865.0,0.0,289.0,576.0,0.0,3677.0,408.0,478.0,1657.0,588.0,152.0,241.0,153.0,0.0,33.4,66.6,0.0,11.1,13.0,45.1,16.0,4.1,6.6,4.2,2157.0,37614.0,49651.0,5924.0,3685.0,62.2,2239.0,37.8,1798.0,30.4,321.0,5.4,25.0,0.4,31.0,0.5,0.0,0.0,0.0,0.0,64.0,1.1
Samuel Clemens H S,Schertz-Cibolo-U City ISD,528.0,518.0,582,590,100.0,129,21.9,267,45.3,Texas,29.563166,-98.2655987,1001 Elbel Road,78154,Guadalupe County,Schertz,48187,"1001 Elbel Road, Schertz, Texas, 78154",210705,48187210705,2020.0,210705.0,Guadalupe County,Texas,420.0,0.0,258.0,146.0,16.0,2495.0,58.0,100.0,840.0,744.0,259.0,300.0,194.0,0.0,61.4,34.8,3.8,2.3,4.0,33.7,29.8,10.4,12.0,7.8,1373.0,72375.0,90291.0,3585.0,978.0,27.3,2607.0,72.7,2248.0,62.7,215.0,6.0,0.0,0.0,72.0,2.0,0.0,0.0,0.0,0.0,72.0,2.0
Byron P Steele II H S,Schertz-Cibolo-U City ISD,526.0,516.0,573,611,100.0,116,19.0,264,43.2,Texas,29.5762158,-98.2168588,1300 Farm to Market Road 1103,78108,Guadalupe County,Cibolo,48187,"1300 Farm to Market Road 1103, Cibolo, Texas, 78108",210718,48187210718,2020.0,210717.0,Guadalupe County,Texas,693.0,33.0,396.0,237.0,27.0,4604.0,38.0,299.0,1081.0,934.0,587.0,1215.0,450.0,4.8,57.1,34.2,3.9,0.8,6.5,23.5,20.3,12.7,26.4,9.8,2342.0,86707.0,103554.0,7836.0,2654.0,33.9,5182.0,66.1,3462.0,44.2,1353.0,17.3,70.0,0.9,161.0,2.1,0.0,0.0,0.0,0.0,136.0,1.7
Navarro H S,Navarro ISD,544.0,529.0,132,79,59.8,22,27.8,38,48.1,Texas,29.6556146,-97.9681229,6350 Texas 123,78155,Guadalupe County,Seguin,48187,"6350 Texas 123, Seguin, Texas, 78155",210508,48187210508,2020.0,210508.0,Guadalupe County,Texas,340.0,20.0,153.0,167.0,0.0,2223.0,78.0,231.0,891.0,391.0,161.0,323.0,148.0,5.9,45.0,49.1,0.0,3.5,10.4,40.1,17.6,7.2,14.5,6.7,1098.0,75648.0,87712.0,3505.0,1867.0,53.3,1638.0,46.7,1546.0,44.1,60.0,1.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,0.9
Marion H S,Marion ISD,509.0,494.0,<125,<125,91.8,<25,14.9,<50,32.7,Texas,29.5671806,-98.1412795,506 Bulldog Lane,78124,Guadalupe County,Marion,48187,"506 Bulldog Lane, Marion, Texas, 78124",210603,48187210603,2020.0,210603.0,Guadalupe County,Texas,122.0,17.0,62.0,43.0,0.0,1603.0,140.0,229.0,504.0,254.0,215.0,198.0,63.0,13.9,50.8,35.2,0.0,8.7,14.3,31.4,15.8,13.4,12.4,3.9,827.0,61669.0,78477.0,2254.0,930.0,41.3,1324.0,58.7,1001.0,44.4,145.0,6.4,0.0,0.0,2.0,0.1,0.0,0.0,0.0,0.0,176.0,7.8
Abernathy H S,Abernathy ISD,526.0,523.0,<75,<25,30.0,<25,14.3,<25,57.1,Texas,33.8302994,-101.8449966,505 7th Street,79311,Hale County,Abernathy,48189,"505 7th Street, Abernathy, Texas, 79311",950900,48189950900,2020.0,950900.0,Hale County,Texas,218.0,45.0,67.0,85.0,21.0,1653.0,169.0,76.0,482.0,397.0,61.0,311.0,157.0,20.6,30.7,39.0,9.6,10.2,4.6,29.2,24.0,3.7,18.8,9.5,1000.0,51813.0,70853.0,2869.0,1174.0,40.9,1695.0,59.1,1630.0,56.8,12.0,0.4,2.0,0.1,0.0,0.0,0.0,0.0,3.0,0.1,48.0,1.7
