,,,,,, ACT Scores and College Preparedness 2022-23 ,,,,,,,,,,,,,,,,,,,,
234,Prairie Grove High School,9-12,Prairie Grove School District, 18.46 ,49%, 605 ,33%,86%,8%,1%,5%,14%,1,605 ,49%,18.73 ,17.43 ,17.80 ,19.33 ,18.46 , 181 , 270 ,41%,0,7206703,7206000
235,Premier High School Of Fort Smith,9-12,Premier High Schools Of Arkansas, 15.93 ,46%, 63 ,38%,51%,24%,13%,13%,49%,3,63 ,46%,16.86 ,15.36 ,15.21 ,16.21 ,15.93 , N/A , N/A ,N/A,1,6053706,6053700
236,Premier High School Of Little Rock,9-12,Responsive Ed Solutions Premier High School Of Little Rock, 13.33 ,29%, 82 ,83%,1%,1%,98%,0%,99%,3,82 ,29%,12.67 ,11.33 ,13.42 ,15.25 ,13.33 , N/A , N/A ,N/A,1,6053703,6053700
237,Premier High School Of North Little Rock,9-12,Responsive Ed Solutions Premier High School Of North Little Rock, 14.00 ,17%, 135 ,86%,8%,4%,82%,5%,92%,3,135 ,17%,13.58 ,12.33 ,14.42 ,15.58 ,14.00 , N/A , N/A ,N/A,1,6062703,6062700
238,Premier High School Of Texarkana,9-12,Premier High Schools Of Arkansas, 16.00 ,51%, 37 ,43%,57%,3%,41%,0%,43%,3,37 ,51%,15.00 ,15.75 ,17.25 ,16.25 ,16.00 , N/A , N/A ,N/A,1,6053709,6053700
239,Premier High School Online,9-12,Premier High Schools Of Arkansas, 16.57 ,15%, 125 ,34%,26%,4%,63%,7%,74%,3,125 ,15%,17.14 ,16.43 ,16.14 ,16.29 ,16.57 , N/A , N/A ,N/A,1,6053712,6053700
240,Prescott High School,9-12,Prescott School District, 16.61 ,46%, 311 ,68%,50%,7%,41%,2%,50%,4,311 ,46%,17.18 ,15.82 ,15.70 ,17.00 ,16.61 , 25 , 22 ,RV,0,5006024,5006000
241,Quitman High School,9-12,Quitman School District, 18.36 ,46%, 253 ,46%,97%,1%,1%,1%,3%,2,252 ,46%,19.07 ,17.18 ,18.09 ,18.49 ,18.36 , 33 , 38 ,RV,0,1203011,1203000
242,Rector High School,7-12,Rector School District, 19.37 ,60%, 248 ,65%,95%,4%,0%,1%,5%,2,167 ,60%,19.66 ,17.66 ,18.61 ,20.95 ,19.37 , 56 , 80 ,RV,0,1106023,1106000
243,Responsive Ed Solutions Premier High School Of Springdale,9-12,Responsive Ed Solutions Premier High School Of Springdale, 16.36 ,20%, 94 ,65%,36%,59%,2%,3%,64%,1,94 ,20%,16.45 ,15.73 ,16.55 ,16.09 ,16.36 , N/A , N/A ,N/A,1,7242703,7242700
244,Rison High School,7-12,Cleveland County School District, 18.55 ,50%, 362 ,51%,73%,1%,22%,3%,27%,5,254 ,50%,19.33 ,17.78 ,17.41 ,19.08 ,18.55 , 54 , 93 ,18%,0,1305010,1305000
245,River Valley Virtual Academy,K-12,Van Buren School District, 17.78 ,28%, 148 ,66%,79%,11%,1%,8%,21%,1,83 ,28%,19.00 ,16.33 ,16.67 ,18.22 ,17.78 , N/A , N/A ,N/A,0,1705703,1705000
246,Riverside High School,7-12,Riverside School District, 17.77 ,48%, 331 ,47%,92%,5%,1%,2%,8%,2,203 ,48%,18.67 ,16.77 ,16.42 ,18.51 ,17.77 , 25 , 33 ,RV,0,1613021,1613000
247,Riverview High School,9-12,Riverview School District, 17.43 ,40%, 325 ,66%,64%,20%,7%,9%,36%,2,325 ,40%,18.63 ,16.59 ,16.31 ,17.36 ,17.43 , 10 , 13 ,RV,0,7307032,7307000
248,Rogers Heritage High School,9-12,Rogers School District, 17.75 ,48%," 2,080 ",48%,40%,52%,2%,7%,60%,1,"2,075 ",48%,18.35 ,16.49 ,17.42 ,18.19 ,17.75 , 827 ," 1,209 ",32%,0,0405052,0405000
249,Rogers High School,9-12,Rogers School District, 19.40 ,45%," 2,284 ",40%,42%,49%,2%,7%,58%,1,"2,281 ",45%,19.61 ,18.90 ,18.67 ,19.75 ,19.40 , 664 ," 1,131 ",50%,0,0405048,0405000
250,Rogers New Technology High School,9-12,Rogers School District, 19.41 ,46%, 658 ,50%,40%,53%,2%,5%,60%,1,658 ,46%,20.52 ,18.44 ,18.00 ,20.23 ,19.41 , 296 , 435 ,26%,0,0405703,0405000
251,Rose Bud High School,7-12,Rose Bud School District, 18.47 ,48%, 335 ,45%,93%,5%,1%,1%,7%,2,227 ,48%,19.42 ,16.69 ,17.84 ,19.04 ,18.47 , 31 , 34 ,RV,0,7310043,7310000
252,Rural Special High School,7-12,Mountain View School District, 21.17 ,50%, 87 ,67%,91%,9%,0%,0%,9%,2,58 ,50%,22.08 ,21.75 ,19.33 ,20.75 ,21.17 , N<10 , 12 ,RV,0,6901012,6901000
253,Russellville High School,10-12,Russellville School District, 19.81 ,55%," 1,227 ",37%,60%,26%,6%,8%,40%,1,"1,227 ",55%,20.64 ,19.13 ,18.72 ,20.13 ,19.81 , 371 , 757 ,48%,0,5805024,5805000
254,Salem High School,7-12,Salem School District, 20.10 ,50%, 425 ,56%,92%,2%,0%,5%,8%,2,274 ,50%,20.82 ,19.71 ,18.92 ,20.55 ,20.10 , N<10 , 13 ,100%,0,2502006,2502000
255,School For The Deaf,K-12,Ark. School For The Deaf, 12.33 ,26%, 99 ,60%,46%,17%,29%,7%,54%,3,38 ,26%,11.00 ,11.33 ,13.33 ,13.67 ,12.33 , N/A , N/A ,N/A,0,6092004,6092000
256,Scott Charter School,K-11,Academics Plus Public Charter Schools, 15.25 ,36%, 216 ,68%,44%,8%,45%,2%,56%,3,33 ,36%,16.50 ,14.00 ,14.75 ,16.25 ,15.25 , 21 , 24 ,RV,1,6040704,6040700
257,Scranton High School,7-12,Scranton School District, 20.46 ,39%, 198 ,43%,92%,2%,0%,7%,8%,1,126 ,39%,21.77 ,19.27 ,19.42 ,20.73 ,20.46 , 10 , 12 ,RV,0,4204019,4204000
258,Searcy High School,9-12,Searcy School District, 21.38 ,27%," 1,166 ",39%,70%,10%,11%,8%,30%,2,"1,166 ",27%,21.50 ,21.00 ,21.63 ,20.38 ,21.38 , 217 , 393 ,34%,0,7311052,7311000
259,Sheridan High School,9-12,Sheridan School District, 19.24 ,47%," 1,271 ",35%,88%,7%,2%,4%,12%,3,"1,271 ",47%,19.99 ,18.27 ,18.65 ,19.48 ,19.24 , 303 , 520 ,51%,0,2705021,2705000
260,Shirley High School,7-12,Shirley School District, 14.67 ,48%, 139 ,81%,94%,1%,2%,3%,6%,1,94 ,48%,14.10 ,13.43 ,14.76 ,15.62 ,14.67 , N/A , N/A ,N/A,0,7104015,7104000
261,Siloam Springs High School Conversion Charter,9-12,Siloam Springs School District, 19.42 ,41%," 1,402 ",49%,52%,35%,1%,13%,48%,1,"1,401 ",41%,19.97 ,18.19 ,19.04 ,19.88 ,19.42 , 247 , 345 ,56%,0,0406703,0406000
262,Sloan-Hendrix High School,7-12,Sloan-Hendrix School District, 18.94 ,39%, 365 ,62%,96%,2%,0%,2%,4%,2,246 ,39%,19.84 ,18.90 ,17.57 ,19.02 ,18.94 , 36 , 38 ,RV,0,3806019,3806000
263,Smackover High School,9-12,Smackover-Norphlet School District, 16.00 ,44%, 299 ,33%,77%,4%,17%,2%,23%,4,299 ,44%,16.00 ,14.82 ,15.74 ,16.95 ,16.00 , 30 , 35 ,RV,0,7008045,7008000
264,South Side High School,7-12,South Side School District (Van Buren), 18.87 ,51%, 252 ,17%,92%,3%,0%,4%,8%,1,169 ,51%,19.98 ,18.07 ,17.96 ,18.98 ,18.87 , 40 , 53 ,RV,0,7105019,7105000
265,Southside Charter High School,10-12,Southside School District (Independence), 19.04 ,51%, 446 ,51%,86%,8%,2%,4%,14%,2,446 ,51%,18.99 ,18.31 ,18.70 ,19.66 ,19.04 , 72 , 107 ,33%,0,3209703,3209000
266,Southside High School,9-12,Fort Smith School District, 21.38 ,46%," 1,956 ",47%,57%,19%,5%,19%,43%,1,"1,950 ",46%,21.93 ,21.33 ,20.17 ,21.39 ,21.38 , 468 , 915 ,64%,0,6601025,6601000
267,Spring Hill High School,7-12,Spring Hill School District, 17.56 ,51%, 293 ,45%,87%,5%,0%,8%,13%,4,190 ,51%,18.16 ,16.75 ,16.38 ,18.13 ,17.56 , 50 , 55 ,RV,0,2906026,2906000
268,Springdale High School,10-12,Springdale School District, 17.98 ,29%," 2,158 ",81%,16%,57%,3%,24%,84%,1,"2,158 ",29%,17.93 ,16.95 ,17.89 ,18.57 ,17.98 , 407 , 514 ,40%,0,7207049,7207000
269,St. Joe K-12 School,K-12,Ozark Mountain School District, 14.50 ,21%, 172 ,72%,97%,0%,1%,2%,3%,1,53 ,21%,15.50 ,13.75 ,12.00 ,16.25 ,14.50 , N/A , N/A ,N/A,0,6505015,6505000
270,St. Paul High School,7-12,Huntsville School District, 24.17 ,30%, 113 ,72%,83%,5%,1%,11%,17%,1,74 ,30%,26.50 ,23.00 ,20.83 ,25.17 ,24.17 , N/A , N/A ,N/A,0,4401012,4401000
271,Star City High School,9-12,Star City School District, 17.47 ,51%, 444 ,62%,66%,11%,20%,4%,34%,5,444 ,51%,17.95 ,16.76 ,16.64 ,17.88 ,17.47 , 134 , 218 ,15%,0,4003016,4003000
272,Strong-Huttig Schools,K-12,Strong-Huttig School District, 14.73 ,36%, 309 ,94%,19%,1%,79%,2%,81%,4,91 ,36%,14.82 ,12.82 ,14.91 ,15.64 ,14.73 , 12 , 21 ,RV,0,7009050,7009000
273,Stuttgart High School,9-12,Stuttgart School District, 17.91 ,45%, 471 ,41%,48%,9%,39%,3%,52%,5,471 ,45%,18.59 ,16.41 ,18.06 ,17.99 ,17.91 , 107 , 183 ,21%,0,0104025,0104000
274,Sylvan Hills High School,10-12,Pulaski County Special School District, 18.57 ,57%," 1,017 ",38%,40%,7%,47%,7%,60%,3,"1,016 ",57%,18.93 ,17.95 ,17.72 ,19.07 ,18.57 , 270 , 438 ,43%,0,6003128,6003000
275,Taylor High School,7-12,Emerson-Taylor-Bradley School District, 19.68 ,55%, 236 ,25%,96%,3%,0%,1%,4%,4,150 ,55%,20.32 ,19.00 ,18.72 ,20.16 ,19.68 , N/A , N/A ,N/A,0,1408019,1408000
276,The Academies At Jonesboro High School,10-12,Jonesboro School District, 17.55 ,62%," 1,386 ",66%,35%,16%,44%,5%,65%,2,"1,385 ",62%,18.32 ,16.21 ,17.16 ,17.95 ,17.55 , 569 , 934 ,26%,0,1608027,1608000
277,The Academies Of West Memphis Charter School,10-12,West Memphis School District, 16.82 ,49%, 952 ,72%,19%,2%,78%,1%,81%,2,952 ,49%,16.74 ,16.20 ,16.57 ,17.23 ,16.82 , 140 , 172 ,19%,0,1803703,1803000
278,Timbo High School,7-12,Mountain View School District, 20.20 ,34%, 108 ,88%,94%,4%,0%,2%,6%,2,62 ,34%,20.90 ,20.40 ,17.90 ,20.40 ,20.20 , N/A , N/A ,N/A,0,6901016,6901000
279,Trumann High School,9-12,Trumann School District, 17.02 ,43%, 457 ,70%,76%,8%,14%,3%,24%,2,451 ,43%,17.76 ,15.98 ,16.57 ,17.12 ,17.02 , 68 , 120 ,RV,0,5605023,5605000
280,Tuckerman High School,8-12,Jackson Co. School District, 20.31 ,61%, 297 ,62%,89%,2%,5%,4%,11%,2,227 ,61%,20.92 ,20.24 ,18.81 ,20.41 ,20.31 , 60 , 84 ,30%,0,3405025,3405000
281,Two Rivers High School,5-12,Two Rivers School District, 18.15 ,43%, 470 ,78%,76%,17%,1%,7%,24%,1,249 ,43%,18.54 ,17.79 ,17.10 ,18.72 ,18.15 , 16 , 18 ,RV,0,7510019,7510000
282,Umpire K-12 School,K-12,Cossatot River School District, 15.25 ,40%, 92 ,77%,71%,29%,0%,0%,29%,4,25 ,40%,16.50 ,13.00 ,16.00 ,14.75 ,15.25 , N<10 , N/A ,N/A,0,5707024,5707000
283,Valley Springs High School,9-12,Valley Springs School District, 20.09 ,53%, 267 ,37%,96%,3%,0%,1%,4%,1,267 ,53%,20.74 ,19.62 ,18.53 ,20.93 ,20.09 , 36 , 51 ,76%,0,0505027,0505000
284,Valley View High School,10-12,Valley View School District, 21.25 ,82%, 631 ,22%,83%,5%,6%,6%,17%,2,630 ,82%,21.85 ,21.38 ,19.87 ,21.17 ,21.25 , 171 , 217 ,65%,0,1612048,1612000
285,Van Buren High School,10-12,Van Buren School District, 19.50 ,68%," 1,228 ",48%,66%,21%,2%,11%,34%,1,"1,228 ",68%,19.98 ,18.96 ,18.54 ,20.02 ,19.50 , 343 , 499 ,53%,0,1705027,1705000
286,Vilonia High School,9-12,Vilonia School District, 20.06 ,49%, 859 ,34%,93%,5%,1%,1%,7%,3,859 ,49%,20.45 ,19.74 ,19.00 ,20.60 ,20.06 , 170 , 243 ,45%,0,2307034,2307000
287,Viola High School,7-12,Viola School District, 17.91 ,49%, 177 ,66%,95%,2%,1%,3%,5%,2,119 ,49%,17.96 ,16.70 ,17.78 ,18.65 ,17.91 , N/A , N/A ,N/A,0,2503010,2503000
288,Waldron High School,9-12,Waldron School District, 18.26 ,49%, 417 ,66%,74%,17%,0%,9%,26%,1,417 ,49%,18.99 ,17.26 ,17.60 ,18.79 ,18.26 , 70 , 95 ,33%,0,6401003,6401000
289,Walnut Ridge High School,7-12,Lawrence County School District, 19.24 ,46%, 462 ,45%,88%,4%,0%,8%,12%,2,306 ,46%,19.75 ,19.81 ,17.64 ,19.07 ,19.24 , 91 , 127 ,13%,0,3810027,3810000
290,Warren High School,9-12,Warren School District, 15.83 ,49%, 468 ,70%,37%,26%,34%,3%,63%,5,468 ,49%,15.64 ,14.67 ,15.71 ,16.56 ,15.83 , 10 , 8 ,RV,0,0602019,0602000
291,Watson Chapel High School,10-12,Watson Chapel School District, 15.07 ,63%, 497 ,65%,7%,2%,89%,2%,93%,3,496 ,63%,15.63 ,13.85 ,14.65 ,15.72 ,15.07 , 126 , 140 ,RV,0,3509067,3509000
292,West Fork High School,9-12,West Fork School District, 18.46 ,44%, 291 ,42%,84%,6%,0%,10%,16%,1,291 ,44%,19.47 ,18.73 ,16.93 ,18.34 ,18.46 , 13 , 14 ,RV,0,7208062,7208000
293,West Little Rock Classical Academy,7-12,Responsive Ed Solutions Northwest Ark Classical Academy, 16.50 ,38%, 71 ,34%,44%,8%,38%,10%,56%,3,48 ,38%,17.25 ,18.25 ,13.25 ,17.00 ,16.50 , N<10 , 6 ,RV,1,0442706,0442700
294,West Side High School,7-12,West Side School District (Cleburne), 20.00 ,46%, 218 ,66%,98%,2%,0%,0%,2%,2,136 ,46%,22.36 ,19.24 ,17.72 ,20.08 ,20.00 , 14 , 14 ,RV,0,1204015,1204000
295,Western Grove K-12 School,K-12,Ozark Mountain School District, 18.63 ,50%, 241 ,68%,94%,2%,1%,4%,6%,1,64 ,50%,20.25 ,17.69 ,16.88 ,19.31 ,18.63 , N/A , N/A ,N/A,0,6505016,6505000
296,Western Yell Co. High School,7-12,Western Yell Co. School District, 15.81 ,41%, 142 ,89%,76%,16%,1%,7%,24%,1,98 ,41%,15.44 ,14.81 ,15.75 ,16.63 ,15.81 , N<10 , 13 ,100%,0,7509033,7509000
297,Westside High School,8-12,Westside Cons. School District (Craighead), 18.03 ,45%, 674 ,44%,93%,3%,2%,1%,7%,2,523 ,45%,18.57 ,17.07 ,16.92 ,18.99 ,18.03 , 78 , 88 ,24%,0,1602055,1602000
298,Westside High School,6-12,Westside School District (Johnson), 15.19 ,42%, 331 ,67%,91%,6%,0%,3%,9%,1,184 ,42%,15.64 ,12.94 ,15.42 ,16.19 ,15.19 , N<10 , 12 ,92%,0,3606026,3606000
299,White Co. Central High School,7-12,White Co. Central School District, 18.58 ,44%, 345 ,57%,85%,12%,0%,3%,15%,2,212 ,44%,19.73 ,17.63 ,17.73 ,18.88 ,18.58 , 13 , 15 ,RV,0,7304019,7304000
300,White Hall High School,9-12,White Hall School District, 18.20 ,50%, 969 ,53%,60%,3%,30%,6%,40%,3,969 ,50%,18.68 ,17.39 ,17.69 ,18.55 ,18.20 , 157 , 350 ,51%,0,3510076,3510000
301,Wonderview High School,7-12,Wonderview School District, 18.38 ,42%, 223 ,49%,95%,2%,1%,3%,5%,1,142 ,42%,19.76 ,18.21 ,16.97 ,17.86 ,18.38 , 19 , 18 ,RV,0,1505026,1505000
302,Woodlawn High School,7-12,Woodlawn School District, 19.41 ,49%, 274 ,47%,90%,6%,1%,3%,10%,5,188 ,49%,20.26 ,18.85 ,17.87 ,20.31 ,19.41 , 28 , 47 ,RV,0,1304015,1304000
303,Wynne High School,9-12,Wynne School District, 18.74 ,43%, 784 ,53%,67%,3%,27%,3%,33%,2,784 ,43%,18.83 ,18.65 ,17.52 ,19.30 ,18.74 , 44 , 51 ,24%,0,1905017,1905000
304,Yellville-Summit High School,9-12,Yellville-Summit School District, 18.62 ,43%, 318 ,71%,95%,1%,1%,3%,5%,1,318 ,43%,18.89 ,18.06 ,17.40 ,19.70 ,18.62 , 23 , 26 ,RV,0,4502006,4502000
